topK,accuracy,precision,recall,F1
0.05,0.9595959595959596,0.3,0.75,0.4285714285714285
0.05,0.955,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9547738693467337,0.1,1.0,0.18181818181818182
0.05,0.9516908212560387,0.1,0.5,0.16666666666666669
0.05,0.9463414634146341,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9479166666666666,0.1,0.5,0.16666666666666669
0.05,0.9617224880382775,0.3,0.75,0.4285714285714285
0.05,0.9528795811518325,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9646464646464646,0.3,1.0,0.4615384615384615
0.05,0.9617486338797814,0.3333333333333333,0.75,0.46153846153846156
0.05,0.943127962085308,0.18181818181818182,0.4,0.25000000000000006
0.05,0.9512195121951219,0.1,0.5,0.16666666666666669
0.05,0.9456521739130435,0.0,0.0,0.0
0.05,0.958974358974359,0.2,1.0,0.33333333333333337
0.05,0.9516129032258065,0.2222222222222222,0.5,0.30769230769230765
0.05,0.9514563106796117,0.1,0.5,0.16666666666666669
0.05,0.945273631840796,0.0,0.0,0.0
0.05,0.945054945054945,0.2222222222222222,0.4,0.2857142857142857
0.05,0.95,0.1,0.5,0.16666666666666669
0.05,0.9552238805970149,0.1,1.0,0.18181818181818182
0.05,0.953125,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9523809523809523,0.1111111111111111,0.5,0.1818181818181818
0.05,0.9533678756476683,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9558823529411765,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9504950495049505,0.1,0.5,0.16666666666666669
0.05,0.9569377990430622,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9554455445544554,0.2,0.6666666666666666,0.30769230769230765
0.05,0.961352657004831,0.2,1.0,0.33333333333333337
0.05,0.9358288770053476,0.0,0.0,0.0
0.05,0.9441624365482234,0.0,0.0,0.0
0.05,0.9466019417475728,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9516129032258065,0.1111111111111111,0.5,0.1818181818181818
0.05,0.9484536082474226,0.1,0.5,0.16666666666666669
0.05,0.9597989949748744,0.2,1.0,0.33333333333333337
0.05,0.9504950495049505,0.1,0.5,0.16666666666666669
0.05,0.9545454545454546,0.3,0.6,0.4
0.05,0.9427083333333334,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9558823529411765,0.1,1.0,0.18181818181818182
0.05,0.9513513513513514,0.1111111111111111,0.5,0.1818181818181818
0.05,0.9433962264150944,0.18181818181818182,0.4,0.25000000000000006
0.05,0.9620853080568721,0.2727272727272727,1.0,0.42857142857142855
0.05,0.9502487562189055,0.2,0.5,0.28571428571428575
0.05,0.9489795918367347,0.2,0.5,0.28571428571428575
0.05,0.9494949494949495,0.0,0.0,0.0
0.05,0.9487179487179487,0.3,0.5,0.37499999999999994
0.05,0.9476439790575916,0.2,0.5,0.28571428571428575
0.05,0.9591836734693877,0.2,1.0,0.33333333333333337
0.05,0.9533678756476683,0.3,0.6,0.4
0.05,0.9481865284974094,0.1,0.5,0.16666666666666669
0.05,0.9587628865979382,0.2,1.0,0.33333333333333337
0.05,0.9447236180904522,0.0,0.0,0.0
0.05,0.9336734693877551,0.0,0.0,0.0
0.05,0.9655172413793104,0.4,0.8,0.5333333333333333
0.05,0.9512195121951219,0.1,0.5,0.16666666666666669
0.05,0.945273631840796,0.0,0.0,0.0
0.05,0.9558823529411765,0.1,1.0,0.18181818181818182
0.05,0.9552238805970149,0.1,1.0,0.18181818181818182
0.05,0.9621621621621622,0.3333333333333333,0.75,0.46153846153846156
0.05,0.9519230769230769,0.1,0.5,0.16666666666666669
0.05,0.9611650485436893,0.3,0.75,0.4285714285714285
0.05,0.941747572815534,0.1,0.25,0.14285714285714288
0.05,0.9487179487179487,0.1,0.5,0.16666666666666669
0.05,0.9611650485436893,0.2,1.0,0.33333333333333337
0.05,0.9432989690721649,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9504950495049505,0.1,0.5,0.16666666666666669
0.05,0.9560975609756097,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9585492227979274,0.2,1.0,0.33333333333333337
0.05,0.9585492227979274,0.2,1.0,0.33333333333333337
0.05,0.9438775510204082,0.0,0.0,0.0
0.05,0.9359605911330049,0.0,0.0,0.0
0.05,0.9463414634146341,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9558823529411765,0.3,0.6,0.4
0.05,0.9603960396039604,0.3,0.75,0.4285714285714285
0.05,0.9479166666666666,0.1,0.5,0.16666666666666669
0.05,0.9563106796116505,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9502487562189055,0.1,0.5,0.16666666666666669
0.05,0.9478672985781991,0.0,0.0,0.0
0.05,0.949238578680203,0.0,0.0,0.0
0.05,0.9526315789473684,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9514563106796117,0.1,0.5,0.16666666666666669
0.05,0.9591836734693877,0.2,1.0,0.33333333333333337
0.05,0.9504950495049505,0.2,0.5,0.28571428571428575
0.05,0.9552238805970149,0.1,1.0,0.18181818181818182
0.05,0.9481865284974094,0.1,0.5,0.16666666666666669
0.05,0.9558823529411765,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9552238805970149,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9458128078817734,0.0,0.0,0.0
0.05,0.96,0.3,0.75,0.4285714285714285
0.05,0.9583333333333334,0.3,0.75,0.4285714285714285
0.05,0.9593908629441624,0.2,1.0,0.33333333333333337
0.05,0.9619565217391305,0.2222222222222222,1.0,0.3636363636363636
0.05,0.9521276595744681,0.1111111111111111,0.5,0.1818181818181818
0.05,0.9471153846153846,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9481865284974094,0.2,0.5,0.28571428571428575
0.05,0.9552238805970149,0.1,1.0,0.18181818181818182
0.05,0.9473684210526315,0.1,0.5,0.16666666666666669
0.05,0.9519230769230769,0.1,0.5,0.16666666666666669
0.05,0.9682539682539683,0.3333333333333333,1.0,0.5
0.05,0.9658536585365853,0.3,1.0,0.4615384615384615
0.05,0.9587628865979382,0.2,1.0,0.33333333333333337
0.1,0.9090909090909091,0.15,0.75,0.24999999999999997
0.1,0.905,0.1,0.6666666666666666,0.1739130434782609
0.1,0.9045226130653267,0.05,1.0,0.09523809523809523
0.1,0.8985507246376812,0.047619047619047616,0.5,0.08695652173913042
0.1,0.9024390243902439,0.09523809523809523,0.6666666666666666,0.16666666666666666
0.1,0.9010416666666666,0.05263157894736842,0.5,0.09523809523809525
0.1,0.9090909090909091,0.14285714285714285,0.75,0.24
