topK,accuracy,precision,recall,F1
0.05,0.7619047619047619,1.0,0.16666666666666666,0.2857142857142857
0.05,0.9444444444444444,1.0,0.5,0.6666666666666666
0.05,0.8333333333333334,1.0,0.25,0.4
0.05,0.8,1.0,0.2,0.33333333333333337
0.05,0.8095238095238095,1.0,0.2,0.33333333333333337
0.05,0.9411764705882353,1.0,0.5,0.6666666666666666
0.05,0.8421052631578947,1.0,0.25,0.4
0.05,0.85,1.0,0.25,0.4
0.05,1.0,1.0,1.0,1.0
0.05,0.9285714285714286,0.0,0.0,0.0
0.05,0.8571428571428571,1.0,0.3333333333333333,0.5
0.05,0.8333333333333334,1.0,0.25,0.4
0.05,0.875,1.0,0.3333333333333333,0.5
0.05,1.0,1.0,1.0,1.0
0.05,0.8571428571428571,1.0,0.3333333333333333,0.5
0.05,0.9444444444444444,1.0,0.5,0.6666666666666666
0.05,0.9444444444444444,1.0,0.5,0.6666666666666666
0.05,0.7058823529411765,1.0,0.16666666666666666,0.2857142857142857
0.05,0.8125,1.0,0.25,0.4
0.05,0.65,1.0,0.125,0.2222222222222222
0.05,0.85,1.0,0.25,0.4
0.05,0.7777777777777778,1.0,0.2,0.33333333333333337
0.05,0.875,1.0,0.3333333333333333,0.5
0.05,0.7333333333333333,1.0,0.2,0.33333333333333337
0.05,0.7058823529411765,1.0,0.16666666666666666,0.2857142857142857
0.05,0.7368421052631579,1.0,0.16666666666666666,0.2857142857142857
0.05,0.782608695652174,1.0,0.16666666666666666,0.2857142857142857
0.05,0.8333333333333334,1.0,0.25,0.4
0.05,0.9411764705882353,1.0,0.5,0.6666666666666666
0.05,0.6666666666666666,1.0,0.14285714285714285,0.25
0.05,0.8125,1.0,0.25,0.4
0.05,0.7647058823529411,1.0,0.2,0.33333333333333337
0.05,0.9333333333333333,1.0,0.5,0.6666666666666666
0.05,0.9090909090909091,1.0,0.3333333333333333,0.5
0.05,0.9375,1.0,0.5,0.6666666666666666
0.05,0.875,1.0,0.3333333333333333,0.5
0.05,0.8,1.0,0.2,0.33333333333333337
0.05,0.7222222222222222,1.0,0.16666666666666666,0.2857142857142857
0.05,0.75,1.0,0.14285714285714285,0.25
0.05,0.8333333333333334,1.0,0.25,0.4
0.05,0.6842105263157895,1.0,0.14285714285714285,0.25
0.05,0.9375,1.0,0.5,0.6666666666666666
0.05,0.85,1.0,0.25,0.4
0.05,0.875,1.0,0.3333333333333333,0.5
0.05,0.75,1.0,0.2,0.33333333333333337
0.05,0.6666666666666666,1.0,0.14285714285714285,0.25
0.05,0.7777777777777778,1.0,0.2,0.33333333333333337
0.05,1.0,1.0,1.0,1.0
0.05,0.8235294117647058,1.0,0.25,0.4
0.05,0.95,1.0,0.5,0.6666666666666666
0.05,0.9047619047619048,1.0,0.3333333333333333,0.5
0.05,0.7894736842105263,1.0,0.2,0.33333333333333337
0.05,0.7222222222222222,1.0,0.16666666666666666,0.2857142857142857
0.05,0.7894736842105263,1.0,0.2,0.33333333333333337
0.05,0.8421052631578947,1.0,0.25,0.4
0.05,0.7333333333333333,1.0,0.2,0.33333333333333337
0.05,0.6842105263157895,1.0,0.14285714285714285,0.25
0.05,0.8947368421052632,1.0,0.3333333333333333,0.5
0.05,1.0,1.0,1.0,1.0
0.05,0.8095238095238095,1.0,0.2,0.33333333333333337
0.05,0.7777777777777778,1.0,0.2,0.33333333333333337
0.05,0.7368421052631579,1.0,0.16666666666666666,0.2857142857142857
0.05,0.75,1.0,0.2,0.33333333333333337
0.05,0.875,1.0,0.3333333333333333,0.5
0.05,0.9,1.0,0.3333333333333333,0.5
0.05,0.8823529411764706,1.0,0.3333333333333333,0.5
0.05,0.7777777777777778,1.0,0.2,0.33333333333333337
0.05,0.65,1.0,0.125,0.2222222222222222
0.05,0.8,1.0,0.25,0.4
0.05,0.8947368421052632,1.0,0.3333333333333333,0.5
0.05,0.7647058823529411,1.0,0.2,0.33333333333333337
0.05,0.7222222222222222,1.0,0.16666666666666666,0.2857142857142857
0.05,0.8421052631578947,1.0,0.25,0.4
0.05,0.8666666666666667,1.0,0.3333333333333333,0.5
0.05,0.9333333333333333,1.0,0.5,0.6666666666666666
0.05,0.8,1.0,0.2,0.33333333333333337
0.05,0.8125,1.0,0.25,0.4
0.05,0.85,1.0,0.25,0.4
0.05,0.7894736842105263,1.0,0.2,0.33333333333333337
0.05,0.75,1.0,0.16666666666666666,0.2857142857142857
0.05,0.7894736842105263,1.0,0.2,0.33333333333333337
0.05,0.9,1.0,0.3333333333333333,0.5
0.05,0.7894736842105263,1.0,0.2,0.33333333333333337
0.05,0.8,1.0,0.2,0.33333333333333337
0.05,0.9375,1.0,0.5,0.6666666666666666
0.05,0.7894736842105263,1.0,0.2,0.33333333333333337
0.05,1.0,1.0,1.0,1.0
0.05,0.9444444444444444,1.0,0.5,0.6666666666666666
