topK,accuracy,precision,recall,F1
0.05,0.9545454545454546,0.2,0.6666666666666666,0.30769230769230765
0.05,0.93,0.0,0.0,0.0
0.05,0.9547738693467337,0.1,1.0,0.18181818181818182
0.05,0.9516908212560387,0.1,0.5,0.16666666666666669
0.05,0.9560975609756097,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9375,0.0,0.0,0.0
0.05,0.9330143540669856,0.0,0.0,0.0
0.05,0.9528795811518325,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9696969696969697,0.4,1.0,0.5714285714285715
0.05,0.9453551912568307,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.05,0.919431279620853,0.0,0.0,0.0
0.05,0.9463414634146341,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9510869565217391,0.1111111111111111,0.5,0.1818181818181818
0.05,0.9538461538461539,0.2,0.6666666666666666,0.30769230769230765
0.05,0.956989247311828,0.3333333333333333,0.6,0.42857142857142855
0.05,0.9563106796116505,0.2,0.6666666666666666,0.30769230769230765
0.05,0.945273631840796,0.0,0.0,0.0
0.05,0.9560439560439561,0.3333333333333333,0.6,0.42857142857142855
0.05,0.95,0.1,0.5,0.16666666666666669
0.05,0.9502487562189055,0.1,0.5,0.16666666666666669
0.05,0.9479166666666666,0.1,0.5,0.16666666666666669
0.05,0.9470899470899471,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.05,0.9326424870466321,0.0,0.0,0.0
0.05,0.9362745098039216,0.0,0.0,0.0
0.05,0.9554455445544554,0.1,1.0,0.18181818181818182
0.05,0.9569377990430622,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9653465346534653,0.3,1.0,0.4615384615384615
0.05,0.9565217391304348,0.1,1.0,0.18181818181818182
0.05,0.946524064171123,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.05,0.9441624365482234,0.0,0.0,0.0
0.05,0.941747572815534,0.0,0.0,0.0
0.05,0.9516129032258065,0.1111111111111111,0.5,0.1818181818181818
0.05,0.9484536082474226,0.1,0.5,0.16666666666666669
0.05,0.9547738693467337,0.1,1.0,0.18181818181818182
0.05,0.9504950495049505,0.1,0.5,0.16666666666666669
0.05,0.9393939393939394,0.1,0.25,0.14285714285714288
0.05,0.9375,0.1,0.25,0.14285714285714288
0.05,0.9509803921568627,0.1,0.5,0.16666666666666669
0.05,0.9405405405405406,0.0,0.0,0.0
0.05,0.9528301886792453,0.2727272727272727,0.6,0.37499999999999994
0.05,0.933649289099526,0.0,0.0,0.0
0.05,0.9502487562189055,0.2,0.5,0.28571428571428575
0.05,0.9336734693877551,0.1,0.2,0.13333333333333333
0.05,0.9494949494949495,0.0,0.0,0.0
0.05,0.9487179487179487,0.3,0.5,0.37499999999999994
0.05,0.9476439790575916,0.2,0.5,0.28571428571428575
0.05,0.9591836734693877,0.2,1.0,0.33333333333333337
0.05,0.9481865284974094,0.3,0.5,0.37499999999999994
0.05,0.9430051813471503,0.0,0.0,0.0
0.05,0.9536082474226805,0.1,1.0,0.18181818181818182
0.05,0.949748743718593,0.1,0.5,0.16666666666666669
0.05,0.9489795918367347,0.2,0.5,0.28571428571428575
0.05,0.9556650246305419,0.3,0.6,0.4
0.05,0.9560975609756097,0.2,0.6666666666666666,0.30769230769230765
0.05,0.945273631840796,0.0,0.0,0.0
0.05,0.9558823529411765,0.1,1.0,0.18181818181818182
0.05,0.9601990049751243,0.2,1.0,0.33333333333333337
0.05,0.9567567567567568,0.3333333333333333,0.6,0.42857142857142855
0.05,0.9471153846153846,0.1,0.3333333333333333,0.15384615384615383
0.05,0.941747572815534,0.1,0.25,0.14285714285714288
0.05,0.941747572815534,0.1,0.25,0.14285714285714288
0.05,0.9538461538461539,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9563106796116505,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9432989690721649,0.1,0.3333333333333333,0.15384615384615383
0.05,0.9504950495049505,0.1,0.5,0.16666666666666669
0.05,0.9560975609756097,0.2,0.6666666666666666,0.30769230769230765
0.05,0.9481865284974094,0.1,0.5,0.16666666666666669
0.05,0.9585492227979274,0.2,1.0,0.33333333333333337
0.05,0.9489795918367347,0.1,0.5,0.16666666666666669
0.05,0.9507389162561576,0.2,0.5,0.28571428571428575
0.05,0.9317073170731708,0.0,0.0,0.0
0.05,0.9558823529411765,0.3,0.6,0.4
0.05,0.9653465346534653,0.3,1.0,0.4615384615384615
