topK,accuracy,precision,recall,F1
0.05,0.9442231075697212,0.07692307692307693,0.3333333333333333,0.125
0.05,0.9380165289256198,0.08333333333333333,0.2,0.11764705882352941
0.05,0.9469387755102041,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9367588932806324,0.0,0.0,0.0
0.05,0.9449152542372882,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.94,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9469387755102041,0.0,0.0,0.0
0.05,0.9531914893617022,0.16666666666666666,0.6666666666666666,0.26666666666666666
0.05,0.9446640316205533,0.15384615384615385,0.4,0.2222222222222222
0.05,0.9451476793248945,0.0,0.0,0.0
0.05,0.9385245901639344,0.0,0.0,0.0
0.05,0.940677966101695,0.0,0.0,0.0
0.05,0.9322709163346613,0.0,0.0,0.0
0.05,0.9471544715447154,0.0,0.0,0.0
0.05,0.9367588932806324,0.0,0.0,0.0
0.05,0.9442231075697212,0.07692307692307693,0.3333333333333333,0.125
0.05,0.9496124031007752,0.15384615384615385,0.5,0.23529411764705882
0.05,0.9401709401709402,0.0,0.0,0.0
0.05,0.9497907949790795,0.08333333333333333,0.5,0.14285714285714285
0.05,0.943089430894309,0.0,0.0,0.0
0.05,0.930327868852459,0.0,0.0,0.0
0.05,0.9458333333333333,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9515418502202643,0.18181818181818182,0.5,0.26666666666666666
0.05,0.9390243902439024,0.08333333333333333,0.2,0.11764705882352941
0.05,0.9549180327868853,0.16666666666666666,0.6666666666666666,0.26666666666666666
0.05,0.9393939393939394,0.0,0.0,0.0
0.05,0.9351145038167938,0.0,0.0,0.0
0.05,0.9357429718875502,0.0,0.0,0.0
0.05,0.9482071713147411,0.15384615384615385,0.5,0.23529411764705882
0.05,0.948051948051948,0.0,0.0,0.0
0.05,0.95,0.08333333333333333,0.5,0.14285714285714285
0.05,0.948,0.15384615384615385,0.5,0.23529411764705882
0.05,0.9380165289256198,0.08333333333333333,0.2,0.11764705882352941
0.05,0.9467213114754098,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9372384937238494,0.0,0.0,0.0
0.05,0.9498069498069498,0.0,0.0,0.0
0.05,0.9551020408163265,0.25,0.6,0.35294117647058826
0.05,0.9313304721030042,0.08333333333333333,0.16666666666666666,0.1111111111111111
0.05,0.9388646288209607,0.0,0.0,0.0
0.05,0.9385964912280702,0.09090909090909091,0.2,0.12500000000000003
0.05,0.9488188976377953,0.15384615384615385,0.5,0.23529411764705882
0.05,0.9377431906614786,0.0,0.0,0.0
0.05,0.9510204081632653,0.08333333333333333,0.5,0.14285714285714285
0.05,0.948936170212766,0.16666666666666666,0.5,0.25
0.05,0.9456066945606695,0.0,0.0,0.0
0.05,0.9392712550607287,0.08333333333333333,0.2,0.11764705882352941
0.05,0.936,0.0,0.0,0.0
0.05,0.9473684210526315,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9484978540772532,0.16666666666666666,0.5,0.25
0.05,0.9449152542372882,0.0,0.0,0.0
0.05,0.9393939393939394,0.0,0.0,0.0
0.05,0.9346938775510204,0.08333333333333333,0.16666666666666666,0.1111111111111111
0.05,0.9407114624505929,0.0,0.0,0.0
0.05,0.9426229508196722,0.08333333333333333,0.25,0.125
0.05,0.9453781512605042,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9508196721311475,0.16666666666666666,0.5,0.25
0.05,0.963265306122449,0.25,1.0,0.4
0.05,0.9465020576131687,0.0,0.0,0.0
0.05,0.9488188976377953,0.15384615384615385,0.5,0.23529411764705882
0.05,0.9375,0.0,0.0,0.0
0.05,0.9451476793248945,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9377593360995851,0.08333333333333333,0.2,0.11764705882352941
0.05,0.9435483870967742,0.0,0.0,0.0
0.05,0.9401709401709402,0.16666666666666666,0.3333333333333333,0.2222222222222222
0.05,0.9442231075697212,0.0,0.0,0.0
0.05,0.9510204081632653,0.08333333333333333,0.5,0.14285714285714285
0.05,0.9456066945606695,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9433198380566802,0.0,0.0,0.0
