@relation jgrapht-0.9.1_PageRank_justScore

@attribute PageRank numeric
@attribute isImportant numeric

@data
0.154736,1
0.002855,1
0.008038,1
0.003806,1
0.002606,1
0.002227,1
0.003845,1
0.002227,1
0.002227,1
0.002227,1
0.002227,1
0.007064,1
0.002227,1
0.002227,1
0.002227,1
0.002227,1
0.002227,1
0.027156,1
0.004602,1
0.014536,1
0.007956,1
0.003931,1
0.002675,1
0.002582,1
0.002227,1
0.002227,1
0.002227,1
0.002227,1
0.002227,1
0.002227,1
0.004252,1
0.010858,1
0.010499,1
0.006456,1
0.005725,1
0.00326,1
0.004592,1
0.003433,1
0.002227,1
0.002974,1
0.002227,1
0.006841,1
0.006689,1
0.004558,1
0.00294,1
0.017293,1
0.011124,1
0.020218,0
0.002227,0
0.002227,0
0.004316,0
0.002227,0
0.013832,0
0.002227,0
0.012423,0
0.002227,0
0.002227,0
0.002227,0
0.002227,0
0.002915,0
0.004066,0
0.002227,0
0.002227,0
0.014171,0
0.002227,0
0.002487,0
0.002563,0
0.002227,0
0.007084,0
0.002227,0
0.006733,0
0.002227,0
0.002227,0
0.002606,0
0.002227,0
0.159895,0
0.011825,0
0.002227,0
0.002457,0
0.002526,0
0.002672,0
0.002227,0
0.00281,0
0.002227,0
0.002227,0
0.002227,0
0.002227,0
0.002895,0
0.002545,0
0.002227,0
0.003059,0
0.002227,0
0.005101,0
0.002227,0
0.002227,0
0.002227,0
0.002227,0
0.002227,0
0.002437,0
0.002227,0
0.004574,0
0.002984,0
0.002606,0
0.002606,0
0.005191,0
0.012545,0
0.002227,0
0.005189,0
0.005405,0
0.003252,0
0.002227,0
0.006525,0
0.002286,0
0.002227,0
0.002227,0
0.002286,0
0.002227,0
0.002813,0
0.0027,0
0.005119,0
0.002227,0
0.002227,0
0.003363,0
0.002227,0
0.002977,0
0.002648,0
0.002783,0
0.002606,0
0.002227,0
0.004933,0
0.002385,0
0.002227,0
0.002688,0
0.002669,0
0.002227,0
0.002227,0
0.002679,0
0.002562,0
0.002464,0
0.002227,0
0.002227,0
0.002606,0
0.002227,0
0.002227,0
0.002542,0
0.002227,0
0.006453,0
0.002227,0
0.006453,0
0.0027,0
0.012314,0
0.002227,0
0.002227,0
0.009085,0
0.004192,0
0.00349,0
0.002227,0
0.002984,0
0.003772,0
0.003438,0
0.002227,0
0.00235,0
0.003327,0
0.002227,0
0.00512,0
0.002227,0
0.003038,0
0.002227,0
0.002227,0
0.002436,0
0.002227,0
0.002227,0
0.007041,0
0.002227,0
0.002606,0
0.002227,0
