topK,accuracy,precision,recall,F1
0.05,0.9362549800796812,0.0,0.0,0.0
0.05,0.9297520661157025,0.0,0.0,0.0
0.05,0.9469387755102041,0.08333333333333333,0.3333333333333333,0.13333333333333333
0.05,0.9367588932806324,0.0,0.0,0.0
0.05,0.9364406779661016,0.0,0.0,0.0
0.05,0.94,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9469387755102041,0.0,0.0,0.0
0.05,0.9361702127659575,0.0,0.0,0.0
0.05,0.9288537549407114,0.0,0.0,0.0
0.05,0.9451476793248945,0.0,0.0,0.0
0.05,0.9385245901639344,0.0,0.0,0.0
0.05,0.940677966101695,0.0,0.0,0.0
0.05,0.9322709163346613,0.0,0.0,0.0
0.05,0.9471544715447154,0.0,0.0,0.0
0.05,0.9367588932806324,0.0,0.0,0.0
0.05,0.9362549800796812,0.0,0.0,0.0
0.05,0.9418604651162791,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9401709401709402,0.0,0.0,0.0
0.05,0.9414225941422594,0.0,0.0,0.0
0.05,0.943089430894309,0.0,0.0,0.0
0.05,0.9385245901639344,0.08333333333333333,0.2,0.11764705882352941
0.05,0.9375,0.0,0.0,0.0
0.05,0.933920704845815,0.0,0.0,0.0
0.05,0.9308943089430894,0.0,0.0,0.0
0.05,0.9385245901639344,0.0,0.0,0.0
0.05,0.9393939393939394,0.0,0.0,0.0
0.05,0.9351145038167938,0.0,0.0,0.0
0.05,0.9357429718875502,0.0,0.0,0.0
0.05,0.9322709163346613,0.0,0.0,0.0
0.05,0.948051948051948,0.0,0.0,0.0
0.05,0.9416666666666667,0.0,0.0,0.0
0.05,0.94,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9297520661157025,0.0,0.0,0.0
0.05,0.9385245901639344,0.0,0.0,0.0
0.05,0.9372384937238494,0.0,0.0,0.0
0.05,0.9498069498069498,0.0,0.0,0.0
0.05,0.9306122448979591,0.0,0.0,0.0
0.05,0.9227467811158798,0.0,0.0,0.0
0.05,0.9388646288209607,0.0,0.0,0.0
0.05,0.9385964912280702,0.09090909090909091,0.2,0.12500000000000003
0.05,0.9409448818897638,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9377431906614786,0.0,0.0,0.0
0.05,0.9428571428571428,0.0,0.0,0.0
0.05,0.9404255319148936,0.08333333333333333,0.25,0.125
0.05,0.9456066945606695,0.0,0.0,0.0
0.05,0.9311740890688259,0.0,0.0,0.0
0.05,0.944,0.07692307692307693,0.3333333333333333,0.125
0.05,0.9392712550607287,0.0,0.0,0.0
0.05,0.9313304721030042,0.0,0.0,0.0
0.05,0.9449152542372882,0.0,0.0,0.0
0.05,0.9393939393939394,0.0,0.0,0.0
0.05,0.926530612244898,0.0,0.0,0.0
0.05,0.9407114624505929,0.0,0.0,0.0
0.05,0.9344262295081968,0.0,0.0,0.0
0.05,0.9369747899159664,0.0,0.0,0.0
0.05,0.9344262295081968,0.0,0.0,0.0
0.05,0.9387755102040817,0.0,0.0,0.0
0.05,0.9465020576131687,0.0,0.0,0.0
0.05,0.9330708661417323,0.0,0.0,0.0
0.05,0.9375,0.0,0.0,0.0
0.05,0.9367088607594937,0.0,0.0,0.0
0.05,0.9294605809128631,0.0,0.0,0.0
0.05,0.9435483870967742,0.0,0.0,0.0
0.05,0.9230769230769231,0.0,0.0,0.0
0.05,0.9442231075697212,0.0,0.0,0.0
0.05,0.9510204081632653,0.08333333333333333,0.5,0.14285714285714285
0.05,0.9372384937238494,0.0,0.0,0.0
0.05,0.9433198380566802,0.0,0.0,0.0
0.05,0.9372549019607843,0.0,0.0,0.0
0.05,0.9444444444444444,0.25,0.42857142857142855,0.3157894736842105
0.05,0.9377593360995851,0.0,0.0,0.0
0.05,0.9402390438247012,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9240506329113924,0.0,0.0,0.0
0.05,0.9488188976377953,0.15384615384615385,0.5,0.23529411764705882
0.05,0.9407114624505929,0.07692307692307693,0.25,0.11764705882352941
0.05,0.9390243902439024,0.0,0.0,0.0
