Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
63,3,0,0,0,25.4,1,0,0,1,0.33,0,0,0,0,0,0,0,1
87,7,0,0,0,37.9,3,0,0,1,0.43,0,0,0,0,0,0,0,1
77,5,0,0,0,29.9,1,0,0,1,0.2,0,0,0,0,0,0,0,1
79,7,0,1,0.142857143,21.5,2,1,1,2,0.86,1,2,0,3,0,0,0,1
103,13,0,9,0.692307692,16.5,4,1,1,2,1,1,4,1,3,0,0,0,1
81,8,0,3,0.375,18.5,2,1,1,2,0.88,1,2,1,4,0,0,0,1
103,16,18.8,8,0.5,17.5,2,4.5,4,5,1.81,2.5,5,1,2,0,1,0,1
102,12,0,9,0.75,16.7,3,1,1,2,1,1,4,1,3,0,0,0,1
215,45,20,19,0.422222222,25.1,7,4.43,4,4,1.89,2.29,14,1,0,0,0,0,1
98,9,0,1,0.111111111,30.6,2,1,1,2,0.78,1,2,1,2,1,0,0,1
101,13,0,9,0.692307692,14.9,4,1,1,2,1,1,4,1,3,0,0,0,1
97,7,0,0,0,41.2,5,0,0,1,0.71,0,0,0,0,0,0,0,1
83,25,28,12,0.48,2.4,2,8,7,5,2,4.5,10,1,1,0,0,0,1
1183,314,11.5,176,0.560509554,31.1,5,5.22,37,6,2.51,5.87,47,8,3,3,0,0,1
268,76,23.7,32,0.421052632,28,3,6.11,11,6,2.59,3.11,12,1,0,0,0,0,1
117,26,19.2,18,0.692307692,25.6,1,21,7,6,2.96,7,6,0,0,0,0,0,1
255,63,17.5,26,0.412698413,21.6,6,3.33,5,4,2.03,2,15,4,0,0,0,0,1
105,7,0,0,0,44.8,4,0,0,1,0.57,0,0,0,0,0,0,0,1
90,10,0,1,0.1,22.2,2,1.5,1,2,1,1,2,2,1,0,1,0,1
90,10,0,1,0.1,23.3,2,1.5,1,2,1,1,2,2,1,0,2,0,1
116,13,0,1,0.076923077,35.3,2,1.5,1,2,1.08,1,2,6,2,0,1,0,1
61,21,14.3,15,0.714285714,9.8,1,13,4,4,1.81,4,4,3,0,0,2,1,1
68,3,0,0,0,33.8,1,0,0,1,0.33,0,0,0,0,0,0,0,1
92,4,0,0,0,47.8,1,0,0,1,0.25,0,0,0,1,0,0,0,1
229,61,9.8,35,0.573770492,27.5,5,4.1,4,4,2.16,1.7,10,2,0,0,0,0,1
92,8,0,2,0.25,38,2,2,1,2,1.25,1,2,0,0,0,0,0,1
116,27,22.2,15,0.555555556,18.1,2,10,7,4,2.04,5,8,2,0,0,0,0,1
385,76,19.7,28,0.368421053,43.9,3.33,5.4,6,6,2.49,3.33,9,5,0,0,0,0,1
84,26,23.1,14,0.538461538,1.2,3,5.67,8,4,1.81,3.33,9,2,1,0,0,0,1
102,12,16.7,2,0.166666667,29.4,2,2.5,3,3,1.25,2,3,1,2,1,0,0,1
77,7,0,1,0.142857143,22.1,2,1,1,2,0.86,1,2,0,2,0,0,0,1
73,8,0,2,0.25,12.3,2,1,1,2,0.75,1,2,0,1,0,3,1,1
73,8,0,2,0.25,12.3,2,1,1,2,0.75,1,2,0,1,0,3,1,1
85,8,0,3,0.375,24.7,2,1.5,1,2,1,1,2,0,2,0,2,1,1
88,13,7.7,2,0.153846154,10.2,2,2.5,2,3,1.23,1.5,3,2,0,0,0,0,1
102,13,0,7,0.538461538,17.6,4,1,1,2,1,1,4,1,2,0,1,0,1
88,10,0,0,0,20.5,3,1,1,2,1,1,3,1,1,0,2,0,1
155,36,22.2,21,0.583333333,17.4,5,5,3,4,1.89,2.6,13,1,2,0,1,0,1
102,13,0,9,0.692307692,15.7,4,1,1,2,1,1,4,1,3,0,0,0,1
99,12,0,9,0.75,14.1,3,1,1,2,1,1,4,1,3,0,0,0,1
79,7,0,1,0.142857143,19,1,1,1,2,0.57,1,1,1,3,0,0,0,1
71,6,0,1,0.166666667,16.9,1,1,1,2,0.67,1,1,1,3,0,0,0,1
71,6,0,1,0.166666667,16.9,1,1,1,2,0.67,1,1,1,3,0,0,0,1
102,8,0,0,0,44.1,5,0,0,1,0.63,0,0,0,0,0,0,0,1
113,13,0,5,0.384615385,23,1.33,0,0,3,1.57,0,0,5,0,0,0,0,1
60,3,0,0,0,21.7,1,0,0,1,0.33,0,0,0,0,0,0,0,1
