Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
216,12,0,0,0,60.2,8,0,0,1,0.67,0,0,0,0,0,0,0,1
144,41,19.5,13,0.317073171,22.9,4,6.5,9,7,2.8,3,10,1,1,2,0,0,1
165,13,0,0,0,49.7,8,0,0,1,0.62,0,0,0,0,0,0,0,1
422,47,0,17,0.361702128,46.7,20,1.05,1,2,1.34,1,20,1,0,0,0,0,1
334,78,7.7,27,0.346153846,35.9,13,3.46,2,3,1.49,1.46,19,5,0,0,0,0,1
689,260,28.5,185,0.711538462,20.3,19,12.05,36,6,2.78,4.32,69,4,0,0,0,0,1
174,41,14.6,21,0.512195122,28.7,7,4,4,3,1.76,1.86,12,1,0,0,1,0,0
611,246,26.8,146,0.593495935,21.9,15,14.6,14,6,2.78,4.6,58,3,0,0,0,0,0
124,12,0,0,0,47.6,9,0,0,1,0.75,0,0,0,0,0,0,0,0
335,77,18.2,33,0.428571429,36.1,11,5.27,6,4,2.06,2.27,23,3,0,0,0,0,0
311,123,36.6,76,0.617886179,18.6,8,13.25,28,7,3.63,6,38,1,0,0,0,0,0
263,94,13.8,39,0.414893617,25.9,10,5.5,10,6,1.79,2.4,20,3,0,0,0,0,0
626,215,21.9,120,0.558139535,26,10.5,8.1,18,5,2.34,3.29,58,2,0,0,0,0,0
190,30,0,2,0.066666667,36.8,5,2.2,1,2,1.3,1,8,12,2,1,0,0,0
2866,651,27.5,316,0.485407066,57,84,6.44,27,8,2.9,3.05,217,14,0,0,0,0,0
91,9,0,0,0,38.5,4,0,0,1,0.44,0,0,0,0,0,0,0,0
529,56,0,0,0,60.1,48,0,0,1,0.88,0,0,1,0,0,0,0,0
1042,327,20.8,171,0.52293578,37.9,57,4.42,10,5,2.21,2.28,110,11,0,0,0,0,0
178,19,0,0,0,50,13,0,0,1,0.68,0,0,0,0,0,0,0,0
286,59,11.9,17,0.288135593,35,14,2.64,5,4,1.81,1.5,21,4,1,0,2,0,0
130,12,0,2,0.166666667,45.4,3,1.67,1,2,1.25,1,5,2,1,0,0,0,0
