@relation jedit-5.1.0

@attribute PageRank numeric
@attribute isImportant numeric

@data
0.000767,0
0.002736,0
0.002176,0
0.000735,0
0.002281,0
0.000689,0
0.00115,0
0.000643,0
0.001013,0
0.000856,0
0.000598,0
0.000607,0
0.000879,0
0.000571,0
0.000651,0
0.000576,0
0.000571,0
0.000571,0
0.002697,0
0.000727,0
0.000661,0
0.000856,0
0.000588,0
0.000667,0
0.000563,0
0.00087,0
0.000634,0
0.000604,0
0.000626,0
0.000563,0
0.000581,0
0.00098,0
0.000563,0
0.000563,0
0.003541,0
0.000563,0
0.000563,0
0.000681,0
0.000729,0
0.000563,0
0.000677,0
0.000563,0
0.001592,0
0.000567,0
0.002874,0
0.000636,0
0.000568,0
0.000563,0
0.000593,0
0.000585,0
0.000618,0
0.000567,0
0.000699,0
0.000563,0
0.000585,0
0.000563,0
0.000563,0
0.000563,0
0.000563,0
0.001085,0
0.000577,0
0.000571,0
0.000604,0
0.000565,0
0.009857,0
0.001529,0
0.000668,0
0.000562,0
0.000582,0
0.000908,0
0.000963,0
0.001043,0
0.000706,0
0.001005,0
0.000572,0
0.000863,0
0.000681,0
0.000562,0
0.001119,0
0.000608,0
0.000562,0
0.001352,0
0.000609,0
0.007097,0
0.000562,0
0.009056,0
0.004968,0
0.001076,0
0.001332,0
0.000562,0
0.001955,0
0.002229,0
0.002141,0
0.000924,0
0.014649,0
0.010617,0
0.002716,0
0.000572,0
0.000775,0
0.001244,0
0.001458,0
0.000567,0
0.000879,0
0.000872,0
0.002585,0
0.000569,0
0.000926,0
0.000818,0
0.001353,0
0.000586,0
0.000565,0
0.002417,0
0.000562,0
0.00247,0
0.001374,0
0.001165,0
0.000562,0
0.000615,0
0.017168,0
0.000867,0
0.001411,0
0.001961,0
0.003384,0
0.000765,0
0.001241,0
0.006987,0
0.000843,0
0.002121,0
0.000562,0
0.000574,0
0.002871,0
0.003017,0
0.000857,0
0.002889,0
0.000577,0
0.001016,0
0.000567,0
0.006639,0
