Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
184,64,1.6,47,0.734375,53.8,11,0.91,1,3,1.11,1,11,24,0,0,0,0,1
10,4,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0
28,17,0,1,0.058823529,50,12,0,0,1,0.71,0,0,2,0,0,0,0,0
38,7,0,0,0,78.9,5,0,0,1,0.71,0,0,0,0,0,0,0,0
283,73,0,32,0.438356164,62.9,29,1,1,2,1.29,1,29,7,0,0,0,0,1
19,5,0,0,0,68.4,2,0,0,1,0.4,0,0,0,0,0,0,0,0
353,191,13.1,146,0.764397906,29.5,53,2.09,22,3,1.51,1.47,77,10,0,0,0,0,0
16,3,0,0,0,75,1,0,0,1,0.33,0,0,0,0,0,0,0,0
35,9,0,0,0,71.4,6,0,0,1,0.67,0,0,0,0,0,0,0,0
78,38,0,0,0,50,22,0,0,1,0.58,0,0,0,0,0,0,0,0
51,6,0,0,0,86.3,2,0,0,1,0.67,0,0,3,0,0,0,0,0
8,2,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,0,0,0,76.9,2,0,0,1,0.4,0,0,0,0,0,0,0,0
10,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,0,0,0,61.5,1,0,0,1,0.25,0,0,0,0,0,0,0,0
34,9,0,0,0,70.6,6,0,0,1,0.67,0,0,0,0,0,0,0,0
63,25,12,7,0.28,41.3,3,1,1,4,1.48,1,3,4,0,0,0,0,0
418,149,17.4,63,0.422818792,55.5,28,3.57,4,4,1.84,1.93,54,6,0,0,1,1,0
61,25,4,3,0.12,42.6,9,1.22,2,2,1.28,1.11,10,1,0,0,0,0,0
142,65,12.3,23,0.353846154,40.1,8,5.75,3,3,1.95,2,16,3,1,3,0,0,0
29,16,0,6,0.375,20.7,5,1.2,2,2,1.13,1.2,6,1,1,0,2,1,0
123,88,34.1,38,0.431818182,0,8.5,3.53,11,5,2.47,2.41,31,3,0,0,0,0,0
21,15,0,0,0,23.8,0,0,0,1,0.73,0,0,11,0,0,0,0,0
12,7,0,1,0.142857143,33.3,2,1,1,2,0.86,1,2,0,2,1,0,0,0
27,8,0,0,0,66.7,4,0,0,1,0.5,0,0,0,0,0,0,0,0
12,7,0,1,0.142857143,33.3,2,1,1,2,0.86,1,2,0,2,1,0,0,0
15,5,0,0,0,60,1,0,0,1,0.2,0,0,0,0,0,0,0,0
20,14,0,0,0,0,4,1,1,2,0.93,1,4,1,0,0,0,1,0
21,17,0,3,0.176470588,23.8,6,1,1,2,1.06,1,6,0,1,0,1,1,0
65,43,0,7,0.162790698,32.3,14,1.07,1,2,1.07,1,14,2,0,0,4,1,0
302,210,13.3,153,0.728571429,23.5,2,87.5,29,6,2.36,15,24,3,0,0,0,0,0
608,322,27.3,208,0.645962733,23,14.5,9.48,12,8,2.88,4.28,110,7,0,0,0,0,0
140,73,11,30,0.410958904,32.1,18,2.33,4,5,1.73,1.44,26,4,0,0,0,0,0
17,20,15,7,0.35,0,3,4.67,4,4,2.15,2,6,2,0,0,0,0,0
63,57,0,2,0.035087719,6.3,1,55,1,2,1.95,1,1,0,0,0,0,0,0
32,7,28.6,2,0.285714286,62.5,2,1.5,3,3,1.29,2,3,0,0,0,0,0,0
66,35,11.4,12,0.342857143,34.8,2,9,5,5,1.86,3,6,1,1,0,0,0,0
21,11,0,2,0.181818182,23.8,3,1.33,1,2,1.09,1,3,1,1,0,0,0,0
83,36,16.7,10,0.277777778,41,5,2.6,7,5,1.33,2.2,11,2,1,0,0,0,0
21,16,6.3,15,0.9375,4.8,1,14,2,3,1.88,2,2,0,0,0,0,0,0
66,42,2.4,9,0.214285714,45.5,14,1.43,2,2,1.38,1.07,15,4,0,0,1,0,0
70,38,5.3,18,0.473684211,37.1,12,1.75,2,3,1.58,1.17,14,2,0,0,1,0,0
53,33,6.1,16,0.484848485,24.5,9,2.11,2,3,1.61,1.22,11,2,0,0,0,0,0
39,25,16,10,0.4,25.6,4,4,4,3,1.76,2,8,2,0,0,0,0,0
101,79,2.5,44,0.556962025,14.9,8,6,3,3,1.46,1.25,10,5,1,0,0,0,0
92,75,24,20,0.266666667,12,17,3.24,7,3,1.83,2.06,34,2,1,0,0,0,0
320,133,18.8,76,0.571428571,51.9,16,6.63,6,5,2.35,2.63,36,6,1,0,0,0,0
10,8,25,4,0.5,0,1,6,3,3,2,3,3,0,2,0,0,0,0
6,4,0,2,0.5,0,1,1,1,2,1,1,1,1,1,0,2,0,0
140,88,11.4,40,0.454545455,18.6,23,2.52,4,4,1.82,1.48,33,1,1,14,0,0,0
14,7,0,0,0,35.7,2,0.5,1,2,0.57,1,2,0,0,0,1,1,1
516,233,5.6,86,0.369098712,47.3,68,1.78,4,4,1.6,1.22,48,33,0,0,2,0,1
101,68,23.5,28,0.411764706,11.9,5,10,19,7,2.41,5.2,20,1,2,2,0,0,0
41,23,8.7,7,0.304347826,22,2,6.5,3,2,1.26,2,4,1,2,1,0,0,0
5,3,0,1,0.333333333,0,1,1,1,2,1,1,1,0,1,0,0,0,0
5,3,0,1,0.333333333,0,1,1,1,2,1,1,1,0,1,0,0,0,0
8,6,0,1,0.166666667,0,1,1,1,2,0.5,1,1,0,1,1,0,0,0
20,11,9.1,1,0.090909091,35,2,2,2,2,0.91,1.5,3,0,1,1,0,0,0
5,3,0,2,0.666666667,0,1,1,1,2,1,1,1,0,1,0,0,0,0
10,8,25,4,0.5,0,1,6,3,3,2,3,3,0,2,0,0,0,0
59,30,13.3,15,0.5,45.8,6,2.83,3,2,1.47,1.67,8,4,0,0,0,0,0
15,9,0,8,0.888888889,6.7,1,4,1,2,1,1,1,0,1,0,0,0,0
325,232,10.3,193,0.831896552,26.8,13,13.92,6,3,1.78,2.85,35,24,1,0,0,0,0
62,52,23.1,11,0.211538462,22.6,11,3.55,6,2,1.73,2.27,25,1,1,0,0,0,0
27,22,4.5,6,0.272727273,29.6,7,1.43,2,2,1.36,1.14,8,3,0,0,0,0,0
79,43,11.6,21,0.488372093,34.2,10,2.8,3,3,1.7,1.5,14,1,1,0,0,0,0
80,43,14,23,0.534883721,37.5,10,2.9,5,4,1.91,1.7,16,1,2,1,0,0,0
388,244,6.1,122,0.5,33.2,65,2.15,13,7,2.11,1.26,77,26,0,0,0,0,1
269,154,14.3,84,0.545454545,35.3,43,2.28,5,3,1.65,1.56,65,6,1,0,1,1,0
28,22,4.5,6,0.272727273,32.1,7,1.43,2,2,1.36,1.14,8,3,0,0,0,0,0
54,27,7.4,16,0.592592593,44.4,8,1.88,3,3,1.56,1.25,10,1,1,0,0,0,0
45,20,0,0,0,53.3,15,0,0,1,0.75,0,0,0,0,0,0,0,0
