@relation argouml-0.9.5

@attribute Lines numeric
@attribute Statements numeric
@attribute '\% Branches' numeric
@attribute Calls numeric
@attribute Calls/Statements numeric
@attribute '\% Comments' numeric
@attribute Methods/Class numeric
@attribute 'Avg Stmts/Method' numeric
@attribute 'Max Complexity' numeric
@attribute 'Max Depth' numeric
@attribute 'Avg Depth' numeric
@attribute 'Avg Complexity' numeric
@attribute WMC numeric
@attribute NOF numeric
@attribute DIT numeric
@attribute NMO numeric
@attribute NOC numeric
@attribute Abstract numeric
@attribute isImportant numeric

@data
60,44,2.3,20,0.454545,23.3,5,5.2,2,2,1.34,1.2,6,2,2,1,0,0,0
36,23,0,11,0.478261,25,5,2.2,1,2,1.17,1,5,0,2,2,0,0,0
20,15,0,7,0.466667,10,2,3.5,1,2,1.13,1,2,1,1,0,0,0,0
62,51,7.8,17,0.333333,0,12,2.33,3,3,1.55,1.33,17,0,0,0,0,0,0
60,49,8.2,17,0.346939,0,12,2.17,3,3,1.49,1.33,17,0,0,0,0,0,0
57,46,8.7,15,0.326087,0,11,2.18,3,3,1.43,1.36,16,0,0,0,0,0,0
62,50,8,18,0.36,0,12,2.17,3,3,1.46,1.33,18,0,0,0,0,0,0
59,48,8.3,17,0.354167,0,12,2.08,3,3,1.46,1.33,18,0,0,0,0,0,0
61,49,8.2,19,0.387755,0,12,2.17,3,3,1.49,1.33,18,0,0,0,0,0,0
71,58,13.8,15,0.258621,12.7,12,2.75,4,4,1.72,1.67,20,3,0,0,0,0,0
55,43,7,13,0.302326,0,11,2,2,3,1.44,1.27,15,0,0,0,0,0,0
57,50,8,17,0.34,0,13,2,3,2,1.3,1.38,17,0,0,0,0,0,0
85,71,18.3,30,0.422535,0,12,4.08,7,5,2.42,2.33,25,0,0,0,0,0,0
83,72,15.3,26,0.361111,0,11,4.45,5,4,2.14,2,22,0,0,0,0,0,0
56,45,8.9,17,0.377778,0,12,1.92,3,3,1.42,1.33,17,0,0,0,0,0,0
52,42,9.5,14,0.333333,1.9,11,1.82,3,3,1.33,1.36,15,0,0,0,0,0,0
52,43,9.3,14,0.325581,0,12,1.67,3,3,1.33,1.33,16,0,0,0,0,0,0
285,201,17.4,105,0.522388,28.1,12,13.83,35,5,2.91,4.25,43,12,1,0,0,0,0
43,29,6.9,17,0.586207,14,3,5.67,3,4,1.76,1.67,5,0,2,1,1,0,0
79,60,3.3,21,0.35,24.1,9,3.44,2,2,1.23,1.22,11,3,1,0,0,0,0
17,11,0,3,0.272727,29.4,2,1.5,1,2,0.73,1,2,0,1,0,0,0,0
17,11,0,3,0.272727,29.4,2,1.5,1,2,0.73,1,2,0,1,0,0,0,0
17,11,0,3,0.272727,29.4,2,1.5,1,2,0.73,1,2,0,1,0,1,0,0
150,83,0,85,1.024096,14,7,8.43,1,2,1.59,1,29,7,2,1,12,1,0
171,133,7.5,84,0.631579,20.5,9,11.33,5,3,1.7,2.33,18,7,2,5,0,0,0
69,55,5.5,28,0.509091,18.8,6,5.33,3,2,1.31,1.67,8,2,3,4,0,0,0
100,76,7.9,37,0.486842,19,12,3.75,4,3,1.49,1.58,16,5,1,0,0,0,0
70,51,7.8,21,0.411765,12.9,9,2.22,3,3,1.24,1.44,12,13,2,1,7,0,0
31,28,10.7,11,0.392857,6.5,4,4.25,4,3,1.46,1.75,7,0,2,2,0,0,0
31,28,10.7,11,0.392857,6.5,4,4.25,4,3,1.46,1.75,7,0,2,2,0,0,0
128,105,0,60,0.571429,14.8,17,4.12,1,2,1.55,1,17,6,2,3,0,0,0
96,78,0,39,0.5,21.9,16,2.94,1,2,1.45,1,16,3,2,3,0,0,0
72,66,19.7,21,0.318182,0,12,3.67,6,4,2.09,2.08,12,0,0,0,0,0,0
72,66,19.7,21,0.318182,0,12,3.67,6,4,2.09,2.08,12,0,0,0,0,0,0
154,134,16.4,72,0.537313,5.8,7,16,9,4,2.08,3.86,23,1,3,2,0,0,0
218,181,19.9,91,0.502762,10.1,9,17.33,14,4,2.22,4.78,35,2,3,2,0,0,0
18,11,0,7,0.636364,22.2,2,2,1,2,0.91,1,2,0,2,1,0,0,0
85,59,1.7,41,0.694915,14.1,4,9,2,3,1.41,1.25,5,6,3,1,0,0,0
84,61,9.8,38,0.622951,22.6,2,24.5,5,3,2.28,4,8,1,0,0,0,0,0
285,209,24.4,102,0.488038,17.2,27,6.19,14,4,2.31,3.3,76,4,1,0,0,0,0
246,70,35.7,40,0.571429,54.5,5,11.4,9,6,2.8,6.2,29,0,0,0,0,0,0
34,28,17.9,15,0.535714,11.8,2,9.5,4,4,1.71,3.5,7,1,0,0,0,0,0
34,26,19.2,19,0.730769,14.7,1,18,8,4,2,8,6,1,0,0,0,0,0
33,28,17.9,15,0.535714,9.1,2,9.5,4,4,1.71,3.5,7,1,0,0,0,0,0
22,19,10.5,2,0.105263,22.7,5,1.6,3,2,1.21,1.4,6,2,0,0,0,0,0
110,98,28.6,43,0.438776,7.3,7,9,23,2,1.5,5,35,0,0,0,2,1,0
407,324,25,153,0.472222,15.7,29,9.52,14,5,2.14,4.07,58,2,1,9,0,0,0
36,28,0,14,0.5,11.1,3,1,1,2,0.71,1,3,0,0,0,1,1,0
584,450,21.8,375,0.833333,14.4,30,13.6,68,5,2.63,6.83,117,1,1,10,0,0,0
227,181,10.5,137,0.756906,12.8,5,30,13,7,2.35,5.8,23,10,1,0,0,0,0
66,57,24.6,21,0.368421,13.6,10,4.4,5,3,1.88,2.6,24,2,1,0,0,0,0
