Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
1146,387,24.3,192,0.496124031,50.6,25,5.86,13,6,2.58,3.06,129,16,1,0,1,0,0
332,147,29.9,60,0.408163265,33.4,18,6.72,12,5,2.39,3.78,58,6,0,0,2,0,0
169,41,0,6,0.146341463,68.6,11,1.91,1,2,1.44,1,11,6,1,0,0,0,0
175,49,4.1,17,0.346938776,60.6,15,1.87,2,4,1.73,1.13,17,2,1,0,1,0,0
79,10,0,0,0,86.1,7,0,0,1,0.7,0,0,0,1,0,0,0,0
49,7,0,0,0,83.7,4,0,0,1,0.57,0,0,0,0,0,0,0,0
774,339,17.1,204,0.601769912,39.3,20.5,6.59,8,7,2.56,2.54,86,11,0,0,0,0,0
258,98,18.4,59,0.602040816,48.4,15,4.53,11,7,2.57,2.4,27,7,0,0,3,0,0
41,14,7.1,3,0.214285714,53.7,3,2,2,3,1.21,1.33,4,1,1,0,0,0,0
208,84,13.1,33,0.392857143,49,5,5.8,9,4,2,2.6,20,7,1,0,0,0,0
327,185,16.2,114,0.616216216,26.9,8.5,9.06,9,6,2.31,2.88,47,1,0,0,0,0,0
1278,428,26.9,245,0.572429907,50.8,52,6.42,30,9,2.79,3.54,150,22,0,0,5,0,0
26,4,0,0,0,76.9,2,0,0,1,0.5,0,0,0,0,0,0,0,0
39,11,0,2,0.181818182,61.5,3,1.67,1,2,1.27,1,3,1,1,0,0,0,0
127,17,0,0,0,85.8,14,0,0,1,0.82,0,0,0,0,0,0,0,0
168,55,20,14,0.254545455,53,10,3.4,5,5,1.87,2.1,20,3,1,0,5,1,0
51,15,0,3,0.2,56.9,4,1.25,1,2,1,1,4,1,2,0,11,1,0
19,4,0,0,0,73.7,1,0,0,1,0.25,0,0,0,0,0,0,0,0
131,51,25.5,25,0.490196078,44.3,4,9.75,15,7,3.14,4.5,15,2,2,0,0,0,0
181,64,23.4,36,0.5625,49.2,9,4.78,9,5,2.16,2.67,24,4,3,0,0,0,0
103,35,17.1,19,0.542857143,51.5,5,5,7,6,2.34,2.2,10,1,3,0,0,0,0
88,32,18.8,12,0.375,51.1,4,5.5,8,4,2.06,2.75,8,1,2,0,0,0,0
176,67,17.9,25,0.373134328,47.2,10,4.2,6,5,1.93,2.3,22,9,3,0,0,0,0
190,61,23,23,0.37704918,53.7,5,4,12,6,2.3,2.4,19,3,3,0,0,0,0
174,62,22.6,26,0.419354839,50,8,5.38,12,6,2.45,2.75,19,3,3,0,0,0,0
133,48,22.9,17,0.354166667,48.9,7,4.71,10,5,2.13,2.71,16,3,3,0,0,0,0
291,122,22.1,50,0.409836066,43,8.5,5.06,19,8,3.02,2.71,35,9,3,0,0,0,0
163,77,27.3,20,0.25974026,36.2,9,6.56,9,5,2.25,3.44,26,4,1,0,0,0,0
117,47,31.9,10,0.212765957,44.4,4,9,20,9,3.98,5.75,16,3,2,0,0,0,0
126,40,20,14,0.35,53.2,7,3.57,5,5,1.83,2.14,14,3,3,0,0,0,0
185,61,23,23,0.37704918,52.4,5,4,12,6,2.3,2.4,19,3,3,0,0,0,0
125,43,18.6,14,0.325581395,50.4,7,3.86,5,6,1.98,2.14,14,4,3,0,0,0,0
204,82,23.2,37,0.451219512,44.1,10,5.5,13,6,2.32,3.1,29,10,3,0,0,0,0
799,344,23,120,0.348837209,40.2,4.33,4.48,15,8,2.75,2.12,43,5,2,0,0,0,0
199,103,21.4,39,0.378640777,28.1,8,8.88,22,9,3.72,3.88,29,5,0,0,0,0,0
49,28,14.3,15,0.535714286,28.6,1,18,6,6,2.36,6,5,1,0,0,0,0,0
284,98,7.1,29,0.295918367,53.9,26,1.85,3,3,1.44,1.35,33,11,0,0,0,0,0
926,344,23.3,246,0.715116279,43.7,4.14,9.41,30,7,3.07,4.24,21,5,1,1,0,0,1
931,338,20.1,183,0.541420118,50.9,3.67,7.39,18,6,2.86,3.12,19,7,1,0,0,0,1
91,46,15.2,22,0.47826087,33,4,8.5,5,5,2.59,2.75,11,0,0,0,0,0,0
23,3,0,0,0,78.3,1,0,0,1,0.33,0,0,0,0,0,0,0,0
45,16,6.3,1,0.0625,48.9,5,1.4,2,3,1.38,1.2,6,2,0,0,1,0,0
36,13,7.7,4,0.307692308,50,3,2,2,3,1.31,1.33,4,1,1,1,0,0,0
64,27,18.5,14,0.518518519,35.9,3,5.33,4,4,1.85,2.67,8,2,0,0,0,0,0
1262,471,23.4,256,0.543524416,38.9,12.63,3.71,53,8,2.6,3.8,105,11,0,0,0,0,1
23,4,0,0,0,73.9,1,0,0,1,0.25,0,0,0,0,0,0,0,0
156,97,23.7,67,0.690721649,17.9,2,40.5,25,6,2.31,14,23,4,0,0,0,0,0
20,6,0,1,0.166666667,60,1,1,1,2,0.5,1,1,0,1,0,0,0,0
222,100,27,62,0.62,36.9,4,10.63,14,6,2.57,5.13,29,0,0,0,0,0,0
209,87,27.6,26,0.298850575,46.9,2,30,12,5,2.77,11,19,16,1,1,0,0,0
255,152,30.9,73,0.480263158,20.4,14,8.71,13,5,2.79,3.86,44,4,0,0,0,0,0
137,81,37,42,0.518518519,21.9,8,7.88,10,5,2.8,3.88,26,1,0,0,0,0,0
241,120,13.3,86,0.716666667,34.9,6,15.5,14,6,2.07,4.33,23,1,1,1,0,0,0
260,128,21.9,65,0.5078125,25.8,6,16.33,13,5,2.34,6,33,2,2,0,0,0,0
106,35,11.4,14,0.4,56.6,7,2.71,4,4,1.66,1.71,10,4,0,0,0,0,0
15,4,0,0,0,66.7,0,0,0,1,0.5,0,0,2,0,0,0,0,0
874,447,23.5,287,0.642058166,33.3,21,18.71,60,6,2.97,6.71,120,18,0,0,0,0,0
59,16,12.5,8,0.5,57.6,4,2,5,3,1.5,2,6,1,1,2,0,0,0
137,51,35.3,29,0.568627451,48.2,3,12.67,24,8,3.08,9.67,15,4,0,0,0,0,0
1893,559,15,319,0.570661896,57.8,51,3.9,17,7,2.17,1.95,182,32,0,0,0,0,1
66,16,18.8,3,0.1875,63.6,5,1.6,4,4,1.63,1.6,7,1,0,0,19,1,0
479,135,22.2,66,0.488888889,55.5,18,5.5,14,6,2.39,2.89,46,6,0,0,2,0,0
527,177,23.7,103,0.581920904,49.5,20,7.35,10,5,2.44,3.2,61,5,0,0,0,0,0
408,151,23.8,65,0.430463576,48.3,21,4.95,14,6,2.13,2.95,53,11,0,0,0,0,1
349,115,19.1,65,0.565217391,51.6,23,3.3,8,6,2.14,2.17,44,7,0,0,0,0,1
415,112,10.7,48,0.428571429,62.2,30,2.33,6,6,2.06,1.4,40,8,1,2,104,1,1
130,54,20.4,29,0.537037037,43.1,5,9,9,4,2.48,3.2,15,1,2,0,0,0,0
23,3,0,0,0,82.6,1,0,0,1,0.33,0,0,0,0,0,0,0,0
700,266,21.1,138,0.518796992,45.7,42,4.4,28,5,2.2,2.52,92,24,2,1,4,1,0
595,264,24.6,176,0.666666667,37,12.5,8.16,28,6,2.58,3.92,76,11,2,6,0,0,0
134,62,9.7,34,0.548387097,35.8,6,6.33,4,4,1.84,2,12,4,2,1,0,0,0
58,19,10.5,3,0.157894737,55.2,4,2,3,3,1.26,1.5,6,2,2,0,3,0,0
305,193,21.2,160,0.829015544,18.7,7,23.14,32,8,2.53,8.29,43,6,2,0,0,0,0
445,201,27.9,107,0.532338308,34.6,11,6.95,26,7,2.84,4.18,67,11,2,1,0,0,0
86,26,15.4,12,0.461538462,58.1,4,3.5,8,4,1.62,2.75,8,3,2,1,0,0,0
153,75,16,35,0.466666667,33.3,5,11.2,6,5,2.25,3.4,17,3,2,0,0,0,0
86,55,23.6,24,0.436363636,17.4,2,22,14,6,3.4,7.5,15,1,3,1,0,0,0
41,23,13,10,0.434782609,29.3,1,15,4,5,2,4,4,0,3,0,0,0,0
181,68,22.1,31,0.455882353,48.1,13,3.54,3,3,1.82,2.15,23,4,2,7,0,0,0
506,259,22.8,129,0.498069498,31.2,19,10.47,33,8,3.05,4.63,69,16,3,1,0,0,0
193,81,7.4,53,0.654320988,42,18,2.78,7,5,1.8,1.56,24,3,4,8,0,0,0
29,6,0,0,0,75.9,2,0,0,1,0.33,0,0,0,0,0,0,0,0
153,61,32.8,40,0.655737705,31.4,4,12.5,25,5,2.48,8.25,21,1,0,0,0,0,0
447,244,20.9,180,0.737704918,25.5,18,10.39,37,7,2.52,4.61,60,23,0,0,9,1,0
77,44,20.5,36,0.818181818,26,2,18,13,4,1.95,7,11,0,1,0,0,0,0
71,33,15.2,18,0.545454545,31,1,22,6,4,1.94,6,5,0,1,0,0,0,0
51,21,14.3,13,0.619047619,43.1,1,13,4,4,1.86,4,3,1,1,0,0,0,0
27,13,0,8,0.615384615,33.3,1,7,2,2,1.15,2,2,0,1,0,0,0,0
164,71,29.6,71,1,40.2,1,64,27,4,2.2,27,21,0,1,0,0,0,0
83,44,22.7,38,0.863636364,32.5,1,37,12,3,1.98,12,11,0,1,0,0,0,0
98,54,25.9,41,0.759259259,22.4,2,22.5,11,4,2.13,8,14,0,1,0,0,0,0
25,12,0,7,0.583333333,40,1,6,2,2,1.08,2,2,0,1,0,0,0,0
734,349,25.5,148,0.424068768,32.3,11.67,7.34,22,7,2.92,4.09,62,16,2,1,0,0,0
29,11,18.2,4,0.363636364,48.3,1,6,3,4,1.55,3,3,0,2,0,0,0,0
16,4,0,0,0,68.8,1,0,0,1,0.25,0,0,0,0,0,0,0,0
188,47,0,20,0.425531915,64.4,19,1,1,2,1.23,1,19,1,1,0,5,1,0
52,15,6.7,3,0.2,53.8,4,1.5,3,3,1.27,1.5,6,3,0,0,0,0,0
62,21,9.5,5,0.238095238,51.6,5,2,4,3,1.48,1.6,8,4,0,0,0,0,0
62,21,9.5,5,0.238095238,51.6,3,3.33,4,3,1.33,2,5,3,0,0,0,0,0
68,36,16.7,7,0.194444444,32.4,3,7.33,8,6,2.31,3.33,8,2,1,0,0,0,0
32,11,9.1,2,0.181818182,53.1,2,2,2,3,1.09,2,4,1,1,0,0,0,0
62,26,23.1,10,0.384615385,40.3,3,5.33,7,4,1.85,3,8,2,1,0,0,0,0
32,11,9.1,3,0.272727273,50,2,2,2,3,1.09,1.5,3,1,1,0,0,0,0
32,11,9.1,2,0.181818182,53.1,2,2,2,3,1.09,2,4,1,1,0,0,0,0
30,9,22.2,7,0.777777778,53.3,1,5,3,3,1.44,3,3,0,2,0,0,0,0
29,11,18.2,4,0.363636364,48.3,1,6,3,4,1.55,3,3,0,2,0,0,0,0
204,73,23.3,52,0.712328767,47.5,12,4.08,21,5,2.64,2.67,28,8,0,0,0,0,0
63,29,17.2,5,0.172413793,36.5,3,6,6,5,1.83,2.67,8,2,1,0,0,0,0
71,25,20,12,0.48,47.9,3,4.67,6,3,1.56,2.67,7,2,2,0,0,0,0
570,261,23.8,127,0.486590038,34.6,31,6.06,26,7,2.77,3.52,83,21,2,0,2,0,0
110,63,17.5,37,0.587301587,17.3,7,5.86,9,6,2.3,2.86,18,6,3,0,0,0,0
62,35,17.1,18,0.514285714,16.1,5,3.8,8,4,1.69,2.4,11,4,2,0,0,0,0
28,3,0,0,0,82.1,1,0,1,1,0.33,1,1,0,3,0,0,0,0
199,107,21.5,45,0.420560748,34.2,10,7.3,7,4,2.12,2.8,25,15,0,0,0,0,0
317,145,15.9,85,0.586206897,38.2,14,7.36,9,6,2.35,2.86,37,7,3,1,0,0,0
73,37,8.1,29,0.783783784,27.4,2,12,3,4,1.86,2.5,5,3,0,0,0,0,0
46,28,0,8,0.285714286,15.2,9,1.22,1,2,1.25,1,9,4,0,0,0,0,0
394,182,19.2,97,0.532967033,41.4,11,12.91,13,7,2.84,4.55,41,13,3,2,0,0,0
47,31,12.9,14,0.451612903,6.4,7,2.71,7,4,1.74,1.86,11,3,0,0,0,0,0
64,20,10,2,0.1,54.7,5,2,3,3,1.55,1.4,7,2,0,0,0,0,0
132,70,21.4,29,0.414285714,31.1,6,8.83,13,5,2.29,3.83,21,6,3,1,0,0,0
34,18,5.6,2,0.111111111,20.6,5,1.6,2,3,1.39,1.2,6,3,0,0,0,0,0
29,9,0,2,0.222222222,55.2,2,1.5,1,2,1,1,2,1,2,1,0,0,0
37,21,9.5,11,0.523809524,18.9,3,4,2,3,1.57,1.67,5,0,1,0,0,0,0
136,60,16.7,30,0.5,27.9,6,6.33,10,6,2,2.67,16,4,2,0,0,0,0
86,34,17.6,12,0.352941176,43,5,3.6,10,4,1.65,2.8,11,5,2,1,0,0,0
124,39,5.1,16,0.41025641,55.6,11,1.64,3,3,1.33,1.18,13,2,3,1,2,1,0
426,204,20.6,85,0.416666667,33.6,6.75,5.44,14,7,2.63,2.48,53,11,4,1,1,1,0
581,250,19.6,96,0.384,39.4,40,4.38,32,7,2.41,2.63,85,9,3,29,0,0,0
81,36,27.8,24,0.666666667,33.3,3,8.67,6,5,2.39,4.33,12,1,2,0,0,0,0
240,105,27.6,75,0.714285714,36.7,6,13.83,38,6,2.98,7.17,33,4,3,1,0,0,0
57,19,15.8,7,0.368421053,56.1,3,3,4,3,1.42,2,5,2,2,1,0,0,0
107,45,13.3,21,0.466666667,37.4,7,3.71,7,4,1.62,2.29,11,3,5,3,0,0,0
122,51,19.6,15,0.294117647,46.7,3.5,4.29,6,6,2,2.43,14,4,2,0,0,0,0
159,72,26.4,24,0.333333333,37.1,8,7.5,20,5,2.64,5.13,26,2,0,0,0,0,0
494,205,15.6,114,0.556097561,42.1,15,4.63,40,5,2.34,2.6,60,23,2,0,2,0,0
170,54,0,2,0.037037037,57.6,16,1,1,2,1.19,1,16,15,0,0,2,1,0
130,49,6.1,16,0.326530612,48.5,11,2.09,5,5,1.57,1.36,14,5,1,0,0,0,0
228,154,14.9,95,0.616883117,13.2,4,8.58,17,5,2.47,3.5,17,1,1,0,0,0,0
102,64,20.3,48,0.75,17.6,2,26,10,4,2.48,8,14,0,1,0,1,0,0
32,19,5.3,10,0.526315789,18.8,1,9,3,3,1.26,3,2,0,2,1,0,0,0
183,116,20.7,65,0.560344828,16.4,6.5,6.15,17,6,2.5,2.92,24,6,2,1,0,0,0
542,204,16.7,99,0.485294118,48.2,35,4.03,12,6,2.07,2.11,64,15,2,1,1,0,0
1044,452,22.6,237,0.524336283,39.2,4.36,6.75,14,7,2.75,3.04,77,17,0,0,0,0,0
193,118,18.6,42,0.355932203,21.2,10,8.3,17,6,2.54,3.2,29,9,0,0,0,0,0
517,262,21.8,152,0.580152672,27.1,11.5,8.87,34,7,3.08,4.26,74,16,3,2,4,0,0
40,10,0,0,0,72.5,5,0,0,1,0.5,0,0,0,0,0,0,0,0
140,51,11.8,12,0.235294118,52.1,9,3.56,4,5,1.86,1.67,15,5,0,0,0,0,0
