@relation jhotdraw-6.0b.1

@attribute Lines numeric
@attribute Statements numeric
@attribute '\% Branches' numeric
@attribute Calls numeric
@attribute Calls/Statements numeric
@attribute '\% Comments' numeric
@attribute Methods/Class numeric
@attribute 'Avg Stmts/Method' numeric
@attribute 'Max Complexity' numeric
@attribute 'Max Depth' numeric
@attribute 'Avg Depth' numeric
@attribute 'Avg Complexity' numeric
@attribute WMC numeric
@attribute NOF numeric
@attribute DIT numeric
@attribute NMO numeric
@attribute NOC numeric
@attribute Abstract numeric
@attribute isImportant numeric

@data
484,281,10.3,217,0.772242,23.1,11,5.2,8,5,1.55,1.56,65,16,1,0,3,0,0
1042,520,11.2,420,0.807692,29.6,35,4.14,8,5,1.69,1.47,134,20,1,0,5,0,1
69,39,10.3,9,0.230769,34.8,5,5.2,9,2,1.59,2.6,9,2,0,0,1,1,0
71,35,22.9,14,0.4,35.2,3,8.33,14,4,1.86,5.33,10,1,2,1,0,0,0
25,11,0,2,0.181818,40,3,0.67,1,2,0.73,1,3,1,2,1,0,0,0
54,27,18.5,13,0.481481,35.2,2,9,6,4,1.89,3.5,7,0,0,0,0,0,0
71,22,0,8,0.363636,56.3,6,1.67,1,2,1.23,1,6,1,1,0,0,0,0
24,5,0,0,0,75,2,0,0,1,0.4,0,0,0,0,0,0,0,0
68,25,0,10,0.4,52.9,6,1.83,1,2,1.16,1,6,1,1,0,0,0,0
101,38,0,16,0.421053,52.5,9,1.67,1,2,1.08,1,9,2,2,5,0,0,0
59,40,15,27,0.675,10.2,6,4,5,4,1.78,2.17,9,1,2,2,0,0,0
169,63,15.9,34,0.539683,46.2,15,2.47,6,4,1.86,1.67,25,0,1,0,1,0,0
164,96,4.2,55,0.572917,23.2,2.11,3.84,4,6,2.33,1.26,6,7,2,0,0,0,0
167,62,21,34,0.548387,48.5,10,4.4,6,4,2.23,2.4,21,0,2,3,0,0,0
105,50,18,16,0.32,37.1,6,5.33,4,4,1.86,2.5,12,4,1,0,0,0,0
23,14,0,0,0,34.8,8,0,0,1,0.79,0,0,3,0,0,0,0,0
35,20,0,4,0.2,22.9,6,1.33,1,2,1.2,1,6,2,1,0,0,0,0
147,89,10.1,54,0.606742,17,19,2.84,3,4,1.7,1.47,25,4,0,0,0,0,0
