Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
95,38,2.6,6,0.157894737,46.3,8,1.75,3,3,1.08,1.25,9,4,0,0,0,0,0
37,6,0,0,0,81.1,4,0,0,1,0.67,0,0,0,0,0,0,0,0
100,53,5.7,20,0.377358491,32,10,2.3,2,3,1.3,1.3,13,4,0,0,0,0,0
72,23,0,10,0.434782609,47.2,8,1,1,2,1.09,1,8,1,2,2,0,0,0
18,5,0,0,0,66.7,1,0,0,1,0.2,0,0,0,0,0,0,0,0
24,9,0,3,0.333333333,41.7,2,1,1,2,0.67,1,2,0,1,0,0,0,0
34,18,5.6,5,0.277777778,32.4,1,8,3,3,1.06,3,2,1,0,0,0,0,0
50,15,0,3,0.2,60,4,1.5,1,4,1.4,1,2,3,1,0,0,0,0
66,22,0,8,0.363636364,56.1,6,1.17,1,2,1,1,6,2,0,0,1,0,0
19,8,0,0,0,52.6,1,0,0,1,0.13,0,0,0,0,0,0,0,0
30,16,0,5,0.3125,36.7,1,4,1,2,0.56,1,1,0,0,0,0,0,0
90,48,4.2,32,0.666666667,31.1,5,6,3,5,1.88,1.4,8,2,2,2,1,1,0
40,14,0,9,0.642857143,47.5,5,1,1,2,1.07,1,5,0,1,0,1,0,0
158,82,8.5,38,0.463414634,25.9,5,4.5,1,5,0.95,1,18,9,3,1,0,0,0
225,88,2.3,31,0.352272727,48,24,1.67,2,3,1.3,1.08,27,8,0,0,0,0,0
81,35,8.6,17,0.485714286,43.2,5,3,4,4,1.31,1.6,8,4,0,0,1,0,0
53,25,8,11,0.44,37.7,3,4.33,3,4,1.44,1.67,5,2,1,0,0,0,0
86,54,3.7,66,1.222222222,22.1,7,4.86,3,3,1.52,1.29,10,2,0,0,0,0,0
63,34,2.9,12,0.352941176,34.9,4,4,2,3,1.32,1.25,5,3,0,0,0,0,0
83,3,0,0,0,74.7,0,0,0,0,0,0,2,17,0,0,0,0,0
409,138,3.6,26,0.188405797,52.3,44,1.34,3,3,1.38,1.18,52,22,0,0,0,0,0
112,24,0,0,0,77.7,22,0,0,1,0.92,0,0,0,0,0,0,0,0
36,14,0,4,0.285714286,47.2,3,1.33,1,2,0.86,1,3,1,0,0,0,0,0
13,4,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0
50,15,0,0,0,68,6,0,0,1,0.4,0,0,0,0,0,0,0,0
