@relation wro4j-1.6.3

@attribute PageRank numeric
@attribute CategoryLabel numeric

@data
0.006701,0
0.010465,0
0.002578,0
0.001172,0
0.002656,0
0.001836,0
0.001457,0
0.001793,0
0.00443,0
0.002106,0
0.001172,0
0.001584,0
0.001511,0
0.00135,0
0.022872,0
0.002773,0
0.001267,0
0.004298,0
0.003147,0
0.001172,0
0.035786,0
0.03159,0
0.001633,0
0.00307,0
0.007897,0
0.001761,0
0.004115,0
0.001475,0
0.001421,0
0.002002,0
0.002648,0
0.002306,0
0.002591,0
0.00167,0
0.001172,0
0.005292,0
0.001542,0
0.001428,0
0.001444,0
0.002552,0
0.001836,0
0.003752,0
0.002349,0
0.002631,0
0.002839,0
0.002811,0
0.003538,0
0.001255,0
0.001172,0
0.00167,0
0.002989,1
0.002026,0
0.005693,0
0.001359,0
0.003085,0
0.001624,0
0.001836,0
0.005011,0
0.001685,0
0.002141,0
0.001172,0
0.001172,0
0.001499,0
0.001172,0
0.00167,0
0.002624,0
0.001291,0
0.001291,0
0.005785,1
0.001372,0
0.001624,0
0.001969,0
0.001989,0
0.003801,1
0.001307,0
0.001504,0
0.001795,0
0.001263,0
0.001172,0
0.001608,0
0.007713,1
0.00203,0
0.002785,0
0.002169,0
0.008064,1
0.004582,0
0.001172,0
0.001406,0
0.001172,0
0.001682,0
0.008676,0
0.004618,0
0.001172,0
0.002106,0
0.001307,0
0.002063,0
0.002401,0
0.001269,0
0.001623,0
0.003774,0
0.006114,1
0.002638,0
0.001172,0
0.002041,0
0.002093,0
0.014876,1
0.001388,0
0.002075,0
0.00177,0
0.004015,0
0.001426,0
0.005409,0
0.003421,0
0.001172,0
0.005378,0
0.001486,0
0.001633,0
0.001541,0
0.001797,0
0.001571,0
0.001648,0
0.001539,0
0.001617,0
0.009318,0
0.001718,0
0.002667,0
0.001377,0
0.002921,0
0.002734,0
0.001172,0
0.001367,0
0.002257,0
0.001172,0
0.001172,0
0.003165,0
0.001372,0
0.001172,0
0.001308,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001504,0
0.001172,0
0.001846,0
0.001604,0
0.008367,1
0.016321,1
0.002592,0
0.001504,0
0.006936,0
0.001372,0
0.002949,0
0.003547,0
0.001172,0
0.001421,0
0.001372,0
0.001372,0
0.001681,0
0.00167,0
0.002084,0
0.003411,0
0.003682,0
0.002169,0
0.001172,0
0.003016,0
0.001929,0
0.001604,0
0.032106,1
0.0445,1
0.003546,0
0.003244,0
0.00725,0
0.001899,0
0.002976,0
0.001606,0
0.002224,0
0.003165,0
0.001235,0
0.001172,0
0.001172,0
0.008586,0
0.006433,0
0.00296,0
0.001172,0
0.001172,0
0.003257,0
0.001289,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.008608,0
0.002973,0
0.001172,0
0.001172,0
0.0051,0
0.003928,0
0.002169,0
0.002818,0
0.00128,0
0.005596,1
0.00544,0
0.009777,0
0.00268,0
0.001526,0
0.00326,0
0.001172,0
0.005897,0
0.010834,0
0.023477,0
0.002858,0
0.002261,0
0.001281,0
0.002169,0
0.009284,0
0.002296,0
0.001766,0
0.002784,0
0.004697,0
0.002599,0
0.004451,0
0.002128,0
0.016015,0
0.003842,0
0.027478,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.002058,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001504,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
0.001172,0
