@relation ant-1.6.1

@attribute PageRank numeric
@attribute isImportant numeric

@data
0.0033,0
0.002191,0
0.007626,0
0.040296,0
0.00132,0
0.000568,0
0.003823,0
0.001641,0
0.000363,0
0.000393,0
0.000379,0
0.006529,0
0.000363,0
0.000642,0
0.000551,0
0.004757,0
0.00326,0
0.0013,0
0.000551,0
0.001012,0
0.000638,0
0.000738,0
0.001009,0
0.001073,0
0.001131,0
0.000843,0
0.00111,0
0.000232,0
0.000497,0
0.000789,0
0.000897,0
0.000789,0
0.001009,0
0.001419,0
0.001811,0
0.000232,0
0.001021,0
0.001428,1
0.000792,1
0.001288,0
0.000745,0
0.002078,0
0.000715,0
0.001026,0
0.002283,1
0.00041,0
0.001732,0
0.000673,0
0.001329,0
0.000255,0
0.001552,0
0.00126,0
0.001587,0
0.000524,0
0.001255,0
0.000232,0
0.002475,0
0.000464,0
0.000509,0
0.032254,1
0.027246,0
0.002257,0
0.00205,0
0.002271,1
0.004073,1
0.049913,1
0.000738,0
0.000534,0
0.003348,0
0.004064,0
0.000981,0
0.000993,0
0.000828,0
0.00218,0
0.000425,0
0.000583,0
0.000613,0
0.000497,0
0.000945,0
0.001323,0
0.001461,0
0.00043,0
0.000616,0
0.004336,0
0.000823,0
0.000401,0
0.000335,0
0.000436,0
0.001386,0
0.000856,0
0.000794,0
0.00039,0
0.001181,0
0.000509,0
0.001906,0
0.001987,0
0.000401,0
0.000401,0
0.000454,0
0.000484,0
0.000429,0
0.000679,0
0.000481,0
0.000429,0
0.000635,0
0.000509,0
0.001534,0
0.000487,0
0.000635,0
0.002752,0
0.000649,0
0.000591,0
0.000249,0
0.000788,0
0.001912,0
0.001135,0
0.001755,0
0.001362,0
0.000627,0
0.000418,0
0.000488,0
0.000779,0
0.00055,0
0.000703,0
0.000426,0
0.000392,0
0.000697,0
0.002189,0
0.001703,0
0.000544,0
0.001196,0
0.000425,0
0.0006,0
0.000396,0
0.001216,0
0.003044,0
0.001689,0
0.001309,0
0.000873,0
0.001294,0
0.000288,0
0.001103,0
0.004757,0
0.008096,0
0.001555,0
0.002916,0
0.001698,0
0.001192,0
0.000552,0
0.001292,0
0.000488,0
0.001149,0
0.000765,0
0.001032,0
0.000337,0
0.000313,0
0.001052,0
0.000947,0
0.002196,0
0.008355,0
0.00443,0
0.005771,0
0.001434,0
0.00049,0
0.000467,0
0.000338,0
0.000793,0
0.000732,0
0.001303,0
0.001161,0
0.001816,0
0.001834,0
0.001338,0
0.000564,0
0.000946,0
0.003965,0
0.000563,0
0.001177,0
0.001832,0
0.001899,0
0.001464,0
0.000315,0
0.000315,0
0.000295,0
0.001218,0
0.000634,0
0.001368,0
0.000982,0
0.001434,0
0.000974,0
0.001196,0
0.000944,0
0.000913,0
0.001105,0
0.001082,0
0.000934,0
0.000918,0
0.000774,0
0.000859,0
0.001012,0
0.003537,0
0.000489,0
0.001926,0
0.000533,0
0.000485,0
0.001744,0
0.003653,0
0.004118,0
0.00476,0
0.000854,0
0.001385,0
0.000854,0
0.000854,0
0.001385,0
0.000854,0
0.001385,0
0.001968,0
0.001188,0
0.001293,0
0.001812,0
0.000444,0
0.000444,0
0.00058,0
0.000842,0
0.001828,0
0.000502,0
0.000447,0
0.00061,0
0.000941,0
0.000765,0
0.000401,0
0.004094,0
0.00052,0
0.000655,0
0.001388,0
0.002206,0
0.001632,0
0.000713,0
0.000232,0
0.001321,0
0.000743,0
0.000232,0
0.000427,0
0.001537,0
0.005791,0
0.000265,0
0.001072,0
0.000584,0
0.001423,0
0.000494,0
0.002048,0
0.002053,0
0.00041,0
0.002048,0
0.001329,0
0.000579,0
0.000232,0
0.000979,0
0.001799,0
0.003081,0
0.001287,0
0.000461,0
0.000867,0
0.001523,0
0.000398,0
0.001306,0
0.000514,0
0.000824,0
0.001509,0
0.000373,0
0.000715,0
0.000513,0
0.00042,0
0.000532,0
0.001309,0
0.001033,0
0.002884,0
0.000626,0
0.000706,0
0.00148,0
0.000672,0
0.000796,0
0.000696,0
0.000703,0
0.00078,0
0.000271,0
0.000561,0
0.002311,0
0.001277,0
0.000634,0
0.000703,0
0.001906,0
0.001678,0
0.000511,0
0.000941,0
0.001467,0
0.000817,0
0.000448,0
0.001064,0
0.001048,0
0.001074,0
0.000808,0
0.000846,0
0.000944,0
0.001756,0
0.002729,0
0.000372,0
0.000232,0
0.001191,0
0.001053,0
0.001198,0
0.001782,0
0.000643,0
0.000612,0
0.000329,0
0.002651,0
0.001029,0
0.000329,0
0.000958,0
0.001214,0
0.000232,0
0.001209,0
0.000974,0
0.000717,0
0.000232,0
0.000277,0
0.000313,0
0.001159,0
0.000886,0
0.006179,0
0.002964,0
0.001951,0
0.000368,0
0.002245,0
0.000722,0
0.000344,0
0.000344,0
0.000951,0
0.000322,0
0.001007,0
0.00128,0
0.001952,0
0.000971,0
0.000704,0
0.000824,0
0.000232,0
0.000849,0
0.0008,0
0.00102,0
0.000978,0
0.002952,0
0.000317,0
0.00038,0
0.000375,0
0.00038,0
0.003312,0
0.000483,0
0.000574,0
0.003848,0
0.000441,0
0.000459,0
0.000367,0
0.000367,0
0.000918,0
0.000961,0
0.001135,0
0.000337,0
0.000367,0
0.000898,0
0.000517,0
0.000232,0
0.000753,0
0.000398,0
0.000428,0
0.000367,0
0.000329,0
0.000424,0
0.001348,0
0.000395,0
0.002298,0
0.000286,0
0.00091,0
0.001656,0
0.00113,0
0.000881,0
0.001475,0
0.000619,0
0.000795,0
0.000232,0
0.00156,0
0.000232,0
0.000341,0
0.000232,0
0.000761,0
0.000761,0
0.001368,0
0.003114,0
0.001114,0
0.00109,0
0.00231,0
0.00118,0
0.001535,0
0.00033,0
0.000698,0
0.000297,0
0.000232,0
0.000363,0
0.001654,0
0.002979,0
0.00064,0
0.000545,0
0.000264,0
0.000734,0
0.000635,0
0.000854,0
0.000426,0
0.000598,0
0.00063,0
0.002133,0
0.000702,0
0.000598,0
0.001824,0
0.000766,0
0.001174,0
0.00184,0
0.00115,0
0.001036,0
0.000855,0
0.001668,0
0.000439,0
0.000798,0
0.000912,0
0.002529,0
0.000455,0
0.000349,0
0.000921,0
0.000719,0
0.000435,0
0.000435,0
0.001022,0
0.004626,0
0.000745,0
0.000843,0
0.001001,0
0.000269,0
0.000558,0
0.000679,0
0.001062,0
0.001093,0
0.000797,0
0.000976,0
0.000342,0
0.001473,0
0.000342,0
0.000739,0
0.000503,0
0.001141,0
0.00111,0
0.000712,0
0.000373,0
0.002378,0
0.001857,0
0.000613,0
0.001208,0
0.002263,0
0.000565,0
0.000905,0
0.002349,0
0.000459,0
0.000725,0
0.000397,0
0.000541,0
0.000603,0
0.003073,0
0.000248,0
0.000368,0
0.001106,0
0.000342,0
0.000956,0
0.000488,0
0.001758,0
0.000919,0
0.001625,0
0.000363,0
0.000312,0
0.000448,0
0.000897,0
0.000246,0
0.000365,0
0.00035,0
0.000712,0
0.000632,0
0.001125,0
0.000549,0
0.000687,0
0.000979,0
0.000987,0
0.001171,0
0.000464,0
0.000655,0
0.000446,0
0.002939,0
0.005113,0
0.000567,0
0.009381,0
0.001149,0
0.001103,0
0.023298,0
0.006319,0
0.011545,0
0.000734,0
0.000513,0
0.000295,0
0.003558,0
0.000778,0
0.001376,0
0.002665,0
0.001161,0
0.002102,0
0.001309,0
0.000232,0
0.002916,0
0.000636,0
0.000597,0
0.001096,0
0.000844,0
0.001202,0
0.000934,0
0.002045,0
0.001096,0
0.001161,0
0.001148,0
0.001003,0
0.000795,0
0.000724,0
0.001458,0
0.000798,0
0.004949,0
0.000625,0
0.021587,0
0.002972,0
0.000761,0
0.001814,0
0.003113,0
0.001591,0
0.00039,0
0.000866,0
0.002714,0
0.000453,0
0.001356,0
0.000596,0
0.001303,0
0.003495,0
0.002921,0
0.001059,0
0.001012,0
0.001428,0
0.000459,0
0.001119,0
0.000474,0
0.000465,0
0.001557,0
0.000912,0
0.001657,0
0.000596,0
0.000928,0
0.001119,0
0.000785,0
0.00039,0
0.000232,0
0.00039,0
0.002832,0
0.000383,0
0.000734,0
0.000566,0
0.000596,0
0.000892,0
0.001078,0
0.000376,0
0.001286,0
0.001044,0
0.001184,0
0.000782,0
0.000776,0
0.003831,0
0.002337,0
0.001289,0
0.003795,1
0.000883,0
0.000336,0
0.000634,0
0.001457,0
0.000362,0
0.00117,0
0.000504,0
0.000803,0
0.000438,0
0.00114,0
0.000431,0
0.002086,0
0.00827,0
0.000295,0
0.000974,0
0.000295,0
0.002272,0
0.000752,0
0.000353,0
0.000232,0
0.000424,0
0.000232,0
0.000754,0
0.001088,0
0.00032,0
0.000414,0
0.000406,0
0.000335,0
0.001122,0
0.000712,0
0.001122,0
0.000712,0
0.001126,0
0.000862,0
0.001002,0
0.000933,0
0.002258,0
0.001526,0
0.002281,0
0.000689,0
0.001378,0
0.001333,0
0.001282,0
0.000868,0
0.000418,0
0.000456,0
0.000764,0
0.000714,0
0.000335,0
0.001291,0
0.000613,0
0.001454,0
0.000578,0
0.001719,0
0.001296,0
0.002103,0
0.000339,0
0.00239,0
0.000232,0
0.000766,0
0.001086,0
0.000302,0
0.003465,0
0.001065,0
0.001361,0
0.002125,0
0.001358,0
0.001335,0
0.000273,0
0.000554,0
0.001932,0
0.001294,0
0.001909,0
0.002291,0
0.00346,0
0.003557,0
