topK,accuracy,precision,recall,F1
0.05,0.9448818897637795,0.0,0.0,0.0
0.05,0.937984496124031,0.16666666666666666,0.25,0.2
0.05,0.9285714285714286,0.16666666666666666,0.2,0.1818181818181818
0.05,0.9436619718309859,0.2857142857142857,0.4,0.3333333333333333
0.05,0.937984496124031,0.0,0.0,0.0
0.05,0.9111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285
0.05,0.952755905511811,0.16666666666666666,0.5,0.25
0.05,0.9618320610687023,0.42857142857142855,0.75,0.5454545454545454
0.05,0.9361702127659575,0.14285714285714285,0.25,0.18181818181818182
0.05,0.9253731343283582,0.0,0.0,0.0
0.05,0.8992248062015504,0.0,0.0,0.0
0.05,0.9457364341085271,0.16666666666666666,0.3333333333333333,0.2222222222222222
0.05,0.937007874015748,0.0,0.0,0.0
0.05,0.9186991869918699,0.0,0.0,0.0
0.05,0.9538461538461539,0.2857142857142857,0.6666666666666666,0.4
0.05,0.9448818897637795,0.0,0.0,0.0
0.05,0.935251798561151,0.2857142857142857,0.3333333333333333,0.30769230769230765
0.05,0.9402985074626866,0.14285714285714285,0.3333333333333333,0.2
0.05,0.9365079365079365,0.0,0.0,0.0
0.05,0.920863309352518,0.0,0.0,0.0
0.05,0.9453125,0.16666666666666666,0.3333333333333333,0.2222222222222222
0.05,0.9389312977099237,0.0,0.0,0.0
0.05,0.9312977099236641,0.14285714285714285,0.25,0.18181818181818182
0.05,0.8861788617886179,0.0,0.0,0.0
0.05,0.9259259259259259,0.14285714285714285,0.2,0.16666666666666666
0.05,0.9111111111111111,0.0,0.0,0.0
0.05,0.937007874015748,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.05,0.9285714285714286,0.3333333333333333,0.2857142857142857,0.30769230769230765
0.05,0.9285714285714286,0.0,0.0,0.0
0.05,0.9307692307692308,0.2857142857142857,0.3333333333333333,0.30769230769230765
0.05,0.8970588235294118,0.0,0.0,0.0
0.05,0.935251798561151,0.14285714285714285,0.25,0.18181818181818182
0.05,0.9111111111111111,0.14285714285714285,0.14285714285714285,0.14285714285714285
0.05,0.9424460431654677,0.2857142857142857,0.4,0.3333333333333333
0.05,0.9402985074626866,0.14285714285714285,0.3333333333333333,0.2
0.05,0.9015151515151515,0.0,0.0,0.0
0.05,0.9083969465648855,0.14285714285714285,0.14285714285714285,0.14285714285714285
0.05,0.9481481481481482,0.14285714285714285,0.5,0.22222222222222224
0.05,0.8914728682170543,0.0,0.0,0.0
0.05,0.9191176470588235,0.14285714285714285,0.16666666666666666,0.15384615384615383
0.05,0.8976377952755905,0.0,0.0,0.0
0.05,0.957983193277311,0.16666666666666666,1.0,0.2857142857142857
0.05,0.9534883720930233,0.3333333333333333,0.5,0.4
0.05,0.9411764705882353,0.2857142857142857,0.4,0.3333333333333333
0.05,0.927007299270073,0.0,0.0,0.0
