topK,accuracy,precision,recall,F1
0.05,0.9519230769230769,0.0625,1.0,0.11764705882352941
0.05,0.9581881533101045,0.21428571428571427,0.75,0.3333333333333333
0.05,0.9522292993630573,0.25,0.5714285714285714,0.34782608695652173
0.05,0.9501557632398754,0.1875,0.5,0.2727272727272727
0.05,0.954983922829582,0.1875,0.75,0.3
0.05,0.9492063492063492,0.0625,0.5,0.1111111111111111
0.05,0.9625,0.3125,0.8333333333333334,0.45454545454545453
0.05,0.9555555555555556,0.1875,0.75,0.3
0.05,0.9483870967741935,0.125,0.5,0.2
0.05,0.9477124183006536,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9635761589403974,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.95578231292517,0.2,0.75,0.31578947368421056
0.05,0.9594594594594594,0.26666666666666666,0.8,0.4
0.05,0.9594594594594594,0.2,1.0,0.33333333333333337
0.05,0.9601328903654485,0.2,1.0,0.33333333333333337
0.05,0.9636963696369637,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.9539473684210527,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9581881533101045,0.2857142857142857,0.6666666666666666,0.4
0.05,0.9579288025889967,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.954248366013072,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.96,0.2,1.0,0.33333333333333337
0.05,0.9639344262295082,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.9565217391304348,0.3125,0.625,0.4166666666666667
0.05,0.9632107023411371,0.26666666666666666,1.0,0.4210526315789474
0.05,0.9515570934256056,0.14285714285714285,0.5,0.22222222222222224
0.05,0.9551282051282052,0.25,0.6666666666666666,0.36363636363636365
0.05,0.9413793103448276,0.13333333333333333,0.3333333333333333,0.19047619047619044
0.05,0.9475308641975309,0.0625,0.3333333333333333,0.10526315789473684
0.05,0.9625850340136054,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.9482758620689655,0.13333333333333333,0.5,0.2105263157894737
0.05,0.9601328903654485,0.26666666666666666,0.8,0.4
0.05,0.9639344262295082,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.9537953795379538,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9594594594594594,0.3333333333333333,0.7142857142857143,0.4545454545454545
0.05,0.9553264604810997,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9570957095709571,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9593220338983051,0.26666666666666666,0.8,0.4
0.05,0.9554140127388535,0.1875,0.75,0.3
0.05,0.9566666666666667,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9517684887459807,0.25,0.5714285714285714,0.34782608695652173
0.05,0.9525423728813559,0.26666666666666666,0.5714285714285714,0.36363636363636365
0.05,0.9511400651465798,0.13333333333333333,0.5,0.2105263157894737
0.05,0.9625850340136054,0.26666666666666666,1.0,0.4210526315789474
0.05,0.9559322033898305,0.2,0.75,0.31578947368421056
0.05,0.959731543624161,0.3333333333333333,0.7142857142857143,0.4545454545454545
0.05,0.9563758389261745,0.2,0.75,0.31578947368421056
0.05,0.9628378378378378,0.26666666666666666,1.0,0.4210526315789474
0.05,0.9588607594936709,0.25,0.8,0.38095238095238093
0.05,0.9452554744525548,0.14285714285714285,0.4,0.21052631578947364
0.05,0.9572368421052632,0.13333333333333333,1.0,0.23529411764705882
0.05,0.9498327759197325,0.06666666666666667,0.5,0.11764705882352941
0.05,0.9470198675496688,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9577922077922078,0.3333333333333333,0.625,0.43478260869565216
0.05,0.9477124183006536,0.13333333333333333,0.4,0.2
0.05,0.9548611111111112,0.14285714285714285,0.6666666666666666,0.23529411764705882
0.05,0.9579288025889967,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9657534246575342,0.3333333333333333,1.0,0.5
0.05,0.9611650485436893,0.3333333333333333,0.7142857142857143,0.4545454545454545
0.05,0.9593220338983051,0.3333333333333333,0.7142857142857143,0.4545454545454545
0.05,0.946843853820598,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9644012944983819,0.26666666666666666,1.0,0.4210526315789474
0.05,0.9662576687116564,0.4375,0.7777777777777778,0.56
0.05,0.9552715654952076,0.25,0.6666666666666666,0.36363636363636365
0.05,0.9516129032258065,0.125,0.6666666666666666,0.21052631578947367
0.05,0.9556313993174061,0.13333333333333333,1.0,0.23529411764705882
0.05,0.9739413680781759,0.5333333333333333,0.8888888888888888,0.6666666666666667
0.05,0.9595959595959596,0.26666666666666666,0.8,0.4
0.05,0.9455782312925171,0.0,0.0,0.0
0.05,0.9536423841059603,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9565217391304348,0.2,0.75,0.31578947368421056
0.05,0.9628378378378378,0.26666666666666666,1.0,0.4210526315789474
0.05,0.9570957095709571,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9491525423728814,0.2,0.5,0.28571428571428575
0.05,0.9584775086505191,0.14285714285714285,1.0,0.25
0.05,0.9576547231270358,0.2,0.75,0.31578947368421056
0.05,0.9607843137254902,0.2,1.0,0.33333333333333337
0.05,0.9605263157894737,0.2,1.0,0.33333333333333337
0.05,0.952054794520548,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9493670886075949,0.0625,0.5,0.1111111111111111
0.05,0.9577922077922078,0.13333333333333333,1.0,0.23529411764705882
0.05,0.9527027027027027,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9594594594594594,0.2,1.0,0.33333333333333337
0.05,0.9519230769230769,0.0625,1.0,0.11764705882352941
0.05,0.96,0.2,1.0,0.33333333333333337
0.05,0.9494949494949495,0.13333333333333333,0.5,0.2105263157894737
0.05,0.9539473684210527,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9563758389261745,0.2,0.75,0.31578947368421056
0.05,0.9607843137254902,0.2,1.0,0.33333333333333337
0.05,0.9496644295302014,0.13333333333333333,0.5,0.2105263157894737
0.05,0.9576547231270358,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9602649006622517,0.3333333333333333,0.7142857142857143,0.4545454545454545
0.05,0.9471947194719472,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.964516129032258,0.3125,1.0,0.47619047619047616
0.05,0.9615384615384616,0.21428571428571427,1.0,0.35294117647058826
0.05,0.9523809523809523,0.125,0.6666666666666666,0.21052631578947367
0.05,0.9671052631578947,0.3333333333333333,1.0,0.5
0.05,0.959866220735786,0.26666666666666666,0.8,0.4
0.05,0.954248366013072,0.2,0.6,0.3
0.05,0.9475409836065574,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9583333333333334,0.25,0.8,0.38095238095238093
0.1,0.9038461538461539,0.03225806451612903,1.0,0.0625
0.1,0.9128919860627178,0.13793103448275862,1.0,0.2424242424242424
0.1,0.910828025477707,0.16129032258064516,0.7142857142857143,0.2631578947368421
0.1,0.9065420560747663,0.125,0.6666666666666666,0.21052631578947367
0.1,0.9067524115755627,0.0967741935483871,0.75,0.1714285714285714
0.1,0.9047619047619048,0.0625,1.0,0.11764705882352941
0.1,0.9125,0.15625,0.8333333333333334,0.2631578947368421
0.1,0.9047619047619048,0.09375,0.75,0.16666666666666666
0.1,0.9064516129032258,0.0967741935483871,0.75,0.1714285714285714
0.1,0.8954248366013072,0.03225806451612903,0.3333333333333333,0.0588235294117647
0.1,0.9139072847682119,0.16666666666666666,0.8333333333333334,0.2777777777777778
0.1,0.9081632653061225,0.10344827586206896,0.75,0.18181818181818182
0.1,0.9087837837837838,0.13333333333333333,0.8,0.2285714285714286
0.1,0.9087837837837838,0.1,1.0,0.18181818181818182
0.1,0.9102990033222591,0.1,1.0,0.18181818181818182
0.1,0.9207920792079208,0.2,1.0,0.33333333333333337
0.1,0.9111842105263158,0.1,1.0,0.18181818181818182
0.1,0.9128919860627178,0.1724137931034483,0.8333333333333334,0.28571428571428575
0.1,0.912621359223301,0.16129032258064516,0.8333333333333334,0.27027027027027023
0.1,0.9019607843137255,0.06451612903225806,0.6666666666666666,0.1176470588235294
0.1,0.91,0.1,1.0,0.18181818181818182
0.1,0.9114754098360656,0.16129032258064516,0.8333333333333334,0.27027027027027023
0.1,0.9192546583850931,0.21875,0.875,0.35
0.1,0.9130434782608695,0.13333333333333333,1.0,0.23529411764705882
