topK,accuracy,precision,recall,F1
0.05,0.9455128205128205,0.0,0.0,0.0
0.05,0.9372822299651568,0.0,0.0,0.0
0.05,0.9331210191082803,0.0625,0.14285714285714285,0.08695652173913043
0.05,0.9501557632398754,0.1875,0.5,0.2727272727272727
0.05,0.9421221864951769,0.0625,0.25,0.1
0.05,0.9428571428571428,0.0,0.0,0.0
0.05,0.93125,0.0,0.0,0.0
0.05,0.9555555555555556,0.1875,0.75,0.3
0.05,0.9354838709677419,0.0,0.0,0.0
0.05,0.954248366013072,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9437086092715232,0.13333333333333333,0.3333333333333333,0.19047619047619044
0.05,0.95578231292517,0.2,0.75,0.31578947368421056
0.05,0.9594594594594594,0.26666666666666666,0.8,0.4
0.05,0.9594594594594594,0.2,1.0,0.33333333333333337
0.05,0.946843853820598,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9636963696369637,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.9407894736842105,0.0,0.0,0.0
0.05,0.9372822299651568,0.07142857142857142,0.16666666666666666,0.1
0.05,0.9320388349514563,0.0,0.0,0.0
0.05,0.954248366013072,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.94,0.0,0.0,0.0
0.05,0.9442622950819672,0.13333333333333333,0.3333333333333333,0.19047619047619044
0.05,0.9440993788819876,0.1875,0.375,0.25
0.05,0.9364548494983278,0.0,0.0,0.0
0.05,0.9515570934256056,0.14285714285714285,0.5,0.22222222222222224
0.05,0.9358974358974359,0.0625,0.16666666666666666,0.09090909090909091
0.05,0.9482758620689655,0.2,0.5,0.28571428571428575
0.05,0.9475308641975309,0.0625,0.3333333333333333,0.10526315789473684
0.05,0.935374149659864,0.06666666666666667,0.16666666666666666,0.09523809523809522
0.05,0.9413793103448276,0.06666666666666667,0.25,0.10526315789473685
0.05,0.946843853820598,0.13333333333333333,0.4,0.2
0.05,0.9639344262295082,0.3333333333333333,0.8333333333333334,0.47619047619047616
0.05,0.9471947194719472,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9391891891891891,0.13333333333333333,0.2857142857142857,0.18181818181818182
0.05,0.9347079037800687,0.06666666666666667,0.16666666666666666,0.09523809523809522
0.05,0.9306930693069307,0.0,0.0,0.0
0.05,0.9389830508474576,0.06666666666666667,0.2,0.1
0.05,0.9426751592356688,0.0625,0.25,0.1
0.05,0.95,0.2,0.5,0.28571428571428575
0.05,0.9260450160771704,0.0,0.0,0.0
0.05,0.9525423728813559,0.26666666666666666,0.5714285714285714,0.36363636363636365
0.05,0.9446254071661238,0.06666666666666667,0.25,0.10526315789473685
0.05,0.935374149659864,0.0,0.0,0.0
0.05,0.9355932203389831,0.0,0.0,0.0
0.05,0.959731543624161,0.3333333333333333,0.7142857142857143,0.4545454545454545
0.05,0.9362416107382551,0.0,0.0,0.0
0.05,0.9425675675675675,0.06666666666666667,0.25,0.10526315789473685
0.05,0.9335443037974683,0.0,0.0,0.0
0.05,0.9525547445255474,0.21428571428571427,0.6,0.3157894736842105
0.05,0.944078947368421,0.0,0.0,0.0
0.05,0.9498327759197325,0.06666666666666667,0.5,0.11764705882352941
0.05,0.9470198675496688,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9383116883116883,0.13333333333333333,0.25,0.1739130434782609
0.05,0.934640522875817,0.0,0.0,0.0
0.05,0.9409722222222222,0.0,0.0,0.0
0.05,0.9579288025889967,0.26666666666666666,0.6666666666666666,0.3809523809523809
0.05,0.9383561643835616,0.06666666666666667,0.2,0.1
0.05,0.9288025889967637,0.0,0.0,0.0
0.05,0.9254237288135593,0.0,0.0,0.0
0.05,0.946843853820598,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9579288025889967,0.2,0.75,0.31578947368421056
0.05,0.9478527607361963,0.25,0.4444444444444444,0.32
0.05,0.9488817891373802,0.1875,0.5,0.2727272727272727
0.05,0.9516129032258065,0.125,0.6666666666666666,0.21052631578947367
0.05,0.9556313993174061,0.13333333333333333,1.0,0.23529411764705882
0.05,0.9283387622149837,0.06666666666666667,0.1111111111111111,0.08333333333333334
0.05,0.9393939393939394,0.06666666666666667,0.2,0.1
0.05,0.9455782312925171,0.0,0.0,0.0
0.05,0.9602649006622517,0.2,1.0,0.33333333333333337
0.05,0.9565217391304348,0.2,0.75,0.31578947368421056
0.05,0.9358108108108109,0.0,0.0,0.0
0.05,0.9504950495049505,0.2,0.5,0.28571428571428575
0.05,0.9355932203389831,0.06666666666666667,0.16666666666666666,0.09523809523809522
0.05,0.9515570934256056,0.07142857142857142,0.5,0.125
0.05,0.9576547231270358,0.2,0.75,0.31578947368421056
0.05,0.954248366013072,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9473684210526315,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.952054794520548,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.05,0.9430379746835443,0.0,0.0,0.0
0.05,0.9448051948051948,0.0,0.0,0.0
0.05,0.9391891891891891,0.0,0.0,0.0
0.05,0.9459459459459459,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9519230769230769,0.0625,1.0,0.11764705882352941
0.05,0.94,0.0,0.0,0.0
0.05,0.9494949494949495,0.13333333333333333,0.5,0.2105263157894737
0.05,0.9473684210526315,0.06666666666666667,0.3333333333333333,0.1111111111111111
0.05,0.9362416107382551,0.0,0.0,0.0
0.05,0.9411764705882353,0.0,0.0,0.0
0.05,0.9362416107382551,0.0,0.0,0.0
0.05,0.9511400651465798,0.2,0.5,0.28571428571428575
0.05,0.9668874172185431,0.4,0.8571428571428571,0.5454545454545455
0.05,0.9405940594059405,0.0,0.0,0.0
0.05,0.9516129032258065,0.1875,0.6,0.2857142857142857
0.05,0.9405594405594405,0.0,0.0,0.0
0.05,0.9523809523809523,0.125,0.6666666666666666,0.21052631578947367
0.05,0.9407894736842105,0.06666666666666667,0.2,0.1
0.05,0.939799331103679,0.06666666666666667,0.2,0.1
0.05,0.934640522875817,0.0,0.0,0.0
0.05,0.940983606557377,0.0,0.0,0.0
0.05,0.9391025641025641,0.0625,0.2,0.09523809523809523
0.1,0.8974358974358975,0.0,0.0,0.0
0.1,0.8850174216027874,0.0,0.0,0.0
0.1,0.89171974522293,0.06451612903225806,0.2857142857142857,0.10526315789473685
0.1,0.9127725856697819,0.15625,0.8333333333333334,0.2631578947368421
0.1,0.9003215434083601,0.06451612903225806,0.5,0.1142857142857143
0.1,0.8920634920634921,0.0,0.0,0.0
0.1,0.88125,0.0,0.0,0.0
0.1,0.9047619047619048,0.09375,0.75,0.16666666666666666
0.1,0.8870967741935484,0.0,0.0,0.0
0.1,0.9019607843137255,0.06451612903225806,0.6666666666666666,0.1176470588235294
0.1,0.9072847682119205,0.13333333333333333,0.6666666666666666,0.2222222222222222
0.1,0.9081632653061225,0.10344827586206896,0.75,0.18181818181818182
0.1,0.9155405405405406,0.16666666666666666,1.0,0.2857142857142857
0.1,0.9087837837837838,0.1,1.0,0.18181818181818182
0.1,0.8970099667774086,0.03333333333333333,0.3333333333333333,0.0606060606060606
0.1,0.9207920792079208,0.2,1.0,0.33333333333333337
0.1,0.8914473684210527,0.0,0.0,0.0
0.1,0.89198606271777,0.06896551724137931,0.3333333333333333,0.1142857142857143
0.1,0.8802588996763754,0.0,0.0,0.0
0.1,0.9019607843137255,0.06451612903225806,0.6666666666666666,0.1176470588235294
0.1,0.8966666666666666,0.03333333333333333,0.3333333333333333,0.0606060606060606
0.1,0.898360655737705,0.0967741935483871,0.5,0.16216216216216214
0.1,0.906832298136646,0.15625,0.625,0.25
0.1,0.9063545150501672,0.1,0.75,0.17647058823529416
0.1,0.9065743944636678,0.10344827586206896,0.75,0.18181818181818182
0.1,0.8942307692307693,0.06451612903225806,0.3333333333333333,0.1081081081081081
0.1,0.9137931034482759,0.1724137931034483,0.8333333333333334,0.28571428571428575
0.1,0.904320987654321,0.0625,0.6666666666666666,0.11428571428571428
0.1,0.8945578231292517,0.06896551724137931,0.3333333333333333,0.1142857142857143
