@relation jgrapht-0.9.1

@attribute PageRank numeric
@attribute isImportant numeric

@data
0.0171,1
0.003181,1
0.011399,1
0.003129,1
0.003739,1
0.002102,1
0.003658,1
0.003547,1
0.004389,1
0.00161,1
0.003507,1
0.009127,1
0.002597,1
0.003498,1
0.002187,1
0.001798,1
0.002587,1
0.033433,1
0.003539,1
0.003733,1
0.006858,1
0.004538,1
0.002814,1
0.002879,1
0.002696,1
0.003202,1
0.003347,1
0.003167,1
0.002814,1
0.001974,1
0.003421,1
0.007191,1
0.007048,1
0.005051,1
0.004799,1
0.004767,1
0.003902,1
0.005841,1
0.003485,1
0.004409,1
0.002001,1
0.003386,1
0.002796,1
0.004984,1
0.002349,1
0.014718,1
0.01322,1
0.020878,0
0.00503,0
0.001452,0
0.008112,0
0.002183,0
0.005404,0
0.000856,0
0.017964,0
0.001943,0
0.002497,0
0.005525,0
0.003517,0
0.002224,0
0.005138,0
0.003492,0
0.003059,0
0.00613,0
0.001432,0
0.00422,0
0.003626,0
0.003059,0
0.015263,0
0.004467,0
0.012177,0
0.003268,0
0.002329,0
0.004292,0
0.002101,0
0.151586,0
0.016841,0
0.00583,0
0.0027,0
0.002501,0
0.008243,0
0.004011,0
0.005625,0
0.00246,0
0.007468,0
0.003921,0
0.003485,0
0.004804,0
0.002061,0
0.003904,0
0.003943,0
0.002113,0
0.004577,0
0.003238,0
0.002122,0
0.003059,0
0.002843,0
0.002053,0
0.003756,0
0.003485,0
0.014503,0
0.002683,0
0.003998,0
0.003998,0
0.006614,0
0.022498,0
0.003681,0
0.006509,0
0.003478,0
0.002185,0
0.003227,0
0.00776,0
0.003048,0
0.004437,0
0.005307,0
0.003368,0
0.002122,0
0.003961,0
0.007784,0
0.008412,0
0.002076,0
0.008555,0
0.004501,0
0.002626,0
0.003444,0
0.003183,0
0.004478,0
0.004292,0
0.003547,0
0.009423,0
0.001101,0
0.005039,0
0.001432,0
0.005376,0
0.005335,0
0.003469,0
0.003319,0
0.002405,0
0.001364,0
0.002912,0
0.002371,0
0.001771,0
0.002897,0
0.002085,0
0.001604,0
0.003603,0
0.005652,0
0.004478,0
0.005509,0
0.001703,0
0.01261,0
0.003903,0
0.004138,0
0.008454,0
0.003139,0
0.002779,0
0.001894,0
0.002053,0
0.002693,0
0.005661,0
0.001835,0
0.001909,0
0.002959,0
0.005029,0
0.010336,0
0.012293,0
0.005684,0
0.003563,0
0.00336,0
0.001365,0
0.006222,0
0.001506,0
0.005511,0
0.002208,0
0.001594,0
0.002398,0
