@relation jexcelapi-2.6.12

@attribute PageRank numeric
@attribute isImportant numeric

@data
0.005097,1
0.009808,1
0.040038,1
0.179448,1
0.007158,1
0.009667,1
0.005797,1
0.013277,1
0.020502,1
0.008939,1
0.009817,1
0.005097,0
0.008219,0
0.015061,0
0.053797,0
0.09707,0
0.010095,0
0.025792,0
0.010058,0
0.008517,0
0.005595,0
0.006425,0
0.026397,0
0.039735,0
0.003923,0
0.048109,0
0.005014,0
0.03398,0
0.021803,0
0.023873,0
0.035457,0
0.006798,0
0.004224,0
0.003052,0
0.009735,0
0.006245,0
0.004224,0
0.006197,0
0.012813,0
0.040536,0
0.01681,0
0.009033,0
0.026242,0
0.014205,0
0.005097,0
0.007691,0
0.004811,0
0.005097,0
0.008076,0
0.01555,0
