topK,accuracy,precision,recall,F1
0.05,0.898876404494382,0.0,0.0,0.0
0.05,0.8850574712643678,0.0,0.0,0.0
0.05,0.9431818181818182,0.25,0.3333333333333333,0.28571428571428575
0.05,0.9166666666666666,0.0,0.0,0.0
0.05,0.9080459770114943,0.0,0.0,0.0
0.05,0.9259259259259259,0.0,0.0,0.0
0.05,0.926829268292683,0.25,0.25,0.25
0.05,0.9146341463414634,0.0,0.0,0.0
0.05,0.8974358974358975,0.25,0.16666666666666666,0.2
0.05,0.9404761904761905,0.5,0.4,0.4444444444444445
0.05,0.9166666666666666,0.0,0.0,0.0
0.05,0.9333333333333333,0.0,0.0,0.0
0.05,0.9146341463414634,0.25,0.2,0.22222222222222224
0.05,0.961038961038961,0.5,0.6666666666666666,0.5714285714285715
0.05,0.9230769230769231,0.5,0.3333333333333333,0.4
0.05,0.8928571428571429,0.0,0.0,0.0
0.05,0.9285714285714286,0.25,0.3333333333333333,0.28571428571428575
0.05,0.9390243902439024,0.5,0.4,0.4444444444444445
0.05,0.9397590361445783,0.5,0.4,0.4444444444444445
0.05,0.9518072289156626,0.5,0.5,0.5
0.05,0.8783783783783784,0.0,0.0,0.0
0.05,0.9358974358974359,0.25,0.3333333333333333,0.28571428571428575
0.05,0.8977272727272727,0.25,0.14285714285714285,0.18181818181818182
0.05,0.8333333333333334,0.25,0.1,0.14285714285714288
0.05,0.9,0.0,0.0,0.0
0.05,0.891566265060241,0.25,0.14285714285714285,0.18181818181818182
0.05,0.8705882352941177,0.0,0.0,0.0
0.05,0.8947368421052632,0.25,0.16666666666666666,0.2
0.05,0.8928571428571429,0.0,0.0,0.0
0.05,0.9310344827586207,0.0,0.0,0.0
0.05,0.9459459459459459,0.5,0.5,0.5
0.05,0.8947368421052632,0.0,0.0,0.0
0.05,0.9047619047619048,0.25,0.16666666666666666,0.2
0.05,0.922077922077922,0.25,0.25,0.25
0.05,0.8831168831168831,0.0,0.0,0.0
0.05,0.9375,0.25,0.3333333333333333,0.28571428571428575
0.05,0.948051948051948,0.25,0.5,0.3333333333333333
