projectName,SCM,SCM_FS,VSM,VSM_FS,PageRank
nanoxml-2.2.1,4.366882987,6.005733263,5.186416924,7.919412907,0.001833244
jexcelapi-2.6.12,17.35877632,13.8335104,25.7763547,59.86493099,0.001772373
jgrapht-0.9.1,72.98794524,49.29758436,265.2422952,1218.175573,0.004106239
