projectName,SCM_R,SCM_R_FS,VSM_R,VSM_R_FS,PageRank
nanoxml-2.2.1,6.450281,7.8856525,6.4047665,18.353406,0.002053,
jexcelapi-2.6.12,29.5042169,20.5091211,27.2733041,96.3039281,0.0018407,
jgrapht-0.9.1,116.383408,77.3274547,242.7937049,715.1916547,0.0039015,
